"Color Name";"Color Number";"Hex";"RGB"
"Saharagelb";"526-G";"#F3DC00";"rgb(243, 220, 0)"
"Buttergelb";"527-G";"#F6CA00";"rgb(246, 202, 0)"
"Primelgelb";"504-G";"#FFBE00";"rgb(255, 190, 0)"
"Hellgelb";"525-G";"#FAC600";"rgb(250, 198, 0)"
"Hellorange";"516-G";"#F99700";"rgb(249, 151, 0)"
"Orange";"509-G";"#F86400";"rgb(248, 100, 0)"
"Klatschmohn";"514-G";"#CE3209";"rgb(206, 50, 9)"
"Mittelrot";"523-G";"#C42918";"rgb(196, 41, 24)"
"Kirschrot";"511-G";"#BD2713";"rgb(189, 39, 19)"
"Geranienrot";"503-G";"#AF0E1E";"rgb(175, 14, 30)"
"Rot";"519-G";"#A8131D";"rgb(168, 19, 29)"
"Dunkelrot";"515-G";"#8E201D";"rgb(142, 32, 29)"
"Burgunder";"513-G";"#6E0E25";"rgb(110, 14, 37)"
"Magenta";"524-G";"#CA4085";"rgb(202, 64, 133)"
"Pink";"541-G";"#EE8DBF";"rgb(238, 141, 191)"
"Lavendel";"550-G";"#7969A9";"rgb(121, 105, 169)"
"Violet";"522-G";"#6C3B85";"rgb(108, 59, 133)"
"Kobaltblau";"540-G";"#111C3A";"rgb(17, 28, 58)"
"Dunkelblau";"512-G";"#253768";"rgb(37, 55, 104)"
"Tiefblau";"528-G";"#133482";"rgb(19, 52, 130)"
"Ultramarinblau";"520-G";"#104181";"rgb(16, 65, 129)"
"Strahlendblau";"539-G";"#0949A5";"rgb(9, 73, 165)"
"Blau";"505-G";"#005585";"rgb(0, 85, 133)"
"Intensivblau";"521-G";"#006DA7";"rgb(0, 109, 167)"
"Hellblau";"510-G";"#0079BA";"rgb(0, 121, 186)"
"Enzianblau";"538-G";"#0094B9";"rgb(0, 148, 185)"
"Capriblau";"537-G";"#4EAFD6";"rgb(78, 175, 214)"
"Tuerkis";"534-G";"#008E8E";"rgb(0, 142, 142)"
"Teal";"535-G";"#009F94";"rgb(0, 159, 148)"
"Mint";"536-G";"#72D1B7";"rgb(114, 209, 183)"
"Waldgruen";"533-G";"#004E30";"rgb(0, 78, 48)"
"Irischgruen";"532-G";"#007A3C";"rgb(0, 122, 60)"
"Kaktusgruen";"506-G";"#007D4E";"rgb(0, 125, 78)"
"Grasgruen";"518-G";"#12852E";"rgb(18, 133, 46)"
"Hellgruen";"517-G";"#65A321";"rgb(101, 163, 33)"
"Limone";"531-G";"#79C529";"rgb(121, 197, 41)"
"Weiss";"501-G";"#EBECED";"rgb(235, 236, 237)"
"Lichtgrau";"544-G";"#C1C1C1";"rgb(193, 193, 193)"
"Hellgrau";"529-G";"#9FA5AF";"rgb(159, 165, 175)"
"Grau";"508-G";"#818A91";"rgb(129, 138, 145)"
