"Color Name";"Color Number";"Hex";"RGB"
"Barely Pink";"100A-1";"#F9ECFC";"rgb(249, 236, 252)"
"Be Mine";"100A-2";"#F8E0FA";"rgb(248, 224, 250)"
"Scented Valentine";"100A-3";"#F8CEF9";"rgb(248, 206, 249)"
"Pink Chintz";"100B-4";"#F8B5FA";"rgb(248, 181, 250)"
"Springtime Bloom";"100B-5";"#E46FEC";"rgb(228, 111, 236)"
"Fuchsia Kiss";"100B-6";"#CF4DDF";"rgb(207, 77, 223)"
"Hot Pink";"100B-7";"#A623A6";"rgb(166, 35, 166)"
"Cupid Arrow";"100C-1";"#F9E3F6";"rgb(249, 227, 246)"
"Cool Pink";"100C-2";"#EACDEA";"rgb(234, 205, 234)"
"Birthday Candle";"100C-3";"#D09BD0";"rgb(208, 155, 208)"
"Degas Pink";"100D-4";"#AC6EAE";"rgb(172, 110, 174)"
"Berries And Cream";"100D-5";"#96548E";"rgb(150, 84, 142)"
"Rose Garland";"100D-6";"#774172";"rgb(119, 65, 114)"
"Maroon";"100D-7";"#663368";"rgb(102, 51, 104)"
"Coquette";"100E-1";"#EAE3EC";"rgb(234, 227, 236)"
"Mauve Mist";"100E-2";"#E1DAE7";"rgb(225, 218, 231)"
"Pastel Violet";"100E-3";"#CCC1D2";"rgb(204, 193, 210)"
"Dark Lilac";"100F-4";"#B5A8BD";"rgb(181, 168, 189)"
"Gypsy Magic";"100F-5";"#877895";"rgb(135, 120, 149)"
"Plum Shade";"100F-6";"#685971";"rgb(104, 89, 113)"
"Deep Aubergine";"100F-7";"#46384A";"rgb(70, 56, 74)"
"Ballerina Gown";"110A-1";"#FBECFA";"rgb(251, 236, 250)"
"Poetic Princess";"110A-2";"#FCDEFA";"rgb(252, 222, 250)"
"Palace Rose";"110A-3";"#FEC1F6";"rgb(254, 193, 246)"
"Foxy Pink";"110B-4";"#E385DE";"rgb(227, 133, 222)"
"Silk Ribbon";"110B-5";"#CC50C0";"rgb(204, 80, 192)"
"Cran Brook";"110B-6";"#A13295";"rgb(161, 50, 149)"
"Raspberry Pudding";"110B-7";"#8B1A6F";"rgb(139, 26, 111)"
"Petal Bloom";"110C-1";"#FCCDF4";"rgb(252, 205, 244)"
"Colonial Rose";"110C-2";"#ECACDB";"rgb(236, 172, 219)"
"Glamour";"110C-3";"#E18ECD";"rgb(225, 142, 205)"
"Rosily";"110D-4";"#C05DA6";"rgb(192, 93, 166)"
"Mission Wildflower";"110D-5";"#97357E";"rgb(151, 53, 126)"
"Haunting Melody";"110D-6";"#712A5F";"rgb(113, 42, 95)"
"Vin Rouge";"110D-7";"#532448";"rgb(83, 36, 72)"
"Whimsical White";"110E-1";"#EFE9EF";"rgb(239, 233, 239)"
"Brook Trout";"110E-2";"#DFD4DF";"rgb(223, 212, 223)"
"Dusky Violet";"110E-3";"#D0C5CF";"rgb(208, 197, 207)"
"Heirloom Orchid";"110F-4";"#A99CA9";"rgb(169, 156, 169)"
"Phantom Hue";"110F-5";"#856E81";"rgb(133, 110, 129)"
"Purplestone";"110F-6";"#6A4B5F";"rgb(106, 75, 95)"
"Deep Garnet";"110F-7";"#482A3F";"rgb(72, 42, 63)"
"Swiss Coffee";"12";"#F3F2E6";"rgb(243, 242, 230)"
"Light Chiffon";"120A-1";"#F7E9F5";"rgb(247, 233, 245)"
"Delicate Rose";"120A-2";"#FBDAF5";"rgb(251, 218, 245)"
"Lovelight";"120A-3";"#FBD0F0";"rgb(251, 208, 240)"
"Old Fashioned Pink";"120B-4";"#FCBEEE";"rgb(252, 190, 238)"
"Candy Coated";"120B-5";"#FA8BD7";"rgb(250, 139, 215)"
"Watermelon Pink";"120B-6";"#EC53B7";"rgb(236, 83, 183)"
"Tropical Smoothie";"120B-7";"#CC2C92";"rgb(204, 44, 146)"
"April Blush";"120C-1";"#FDC8F7";"rgb(253, 200, 247)"
"Pink Punch";"120C-2";"#FCADED";"rgb(252, 173, 237)"
"Rose Marquis";"120C-3";"#E482CB";"rgb(228, 130, 203)"
"Mulberry";"120D-4";"#C045A1";"rgb(192, 69, 161)"
"Glazed Raspberry";"120D-5";"#A1287E";"rgb(161, 40, 126)"
"Cranberry Splash";"120D-6";"#831E61";"rgb(131, 30, 97)"
"Ruby Red";"120D-7";"#701C52";"rgb(112, 28, 82)"
"Dreamy White";"120E-1";"#E9DFE5";"rgb(233, 223, 229)"
"French Taupe";"120E-2";"#D2C8D0";"rgb(210, 200, 208)"
"Subdued Hue";"120E-3";"#C5B3BE";"rgb(197, 179, 190)"
"Blackberry Mocha";"120F-4";"#9E8692";"rgb(158, 134, 146)"
"Hickory Stick";"120F-5";"#8E6D7A";"rgb(142, 109, 122)"
"Japanese Maple";"120F-6";"#654153";"rgb(101, 65, 83)"
"Plum Raisin";"120F-7";"#4F2F3D";"rgb(79, 47, 61)"
"Cottage White";"13";"#F5EEDA";"rgb(245, 238, 218)"
"Sweet Nothing";"130A-1";"#FBE4F1";"rgb(251, 228, 241)"
"Fading Rose";"130A-2";"#FDC8EB";"rgb(253, 200, 235)"
"Ballerina Pink";"130A-3";"#FDA7DB";"rgb(253, 167, 219)"
"Primrose Garden";"130B-4";"#FB85C8";"rgb(251, 133, 200)"
"Bridesmaid";"130B-5";"#F666B7";"rgb(246, 102, 183)"
"Dragon Fruit";"130B-6";"#DD2F82";"rgb(221, 47, 130)"
"Cherry Wine";"130B-7";"#B01B63";"rgb(176, 27, 99)"
"Powdered Blush";"130C-1";"#FCD6EE";"rgb(252, 214, 238)"
"Cafe Pink";"130C-2";"#F0B9DD";"rgb(240, 185, 221)"
"Raspberry Lemonade";"130C-3";"#E7A0CD";"rgb(231, 160, 205)"
"Rose Sachet";"130D-4";"#D16FB3";"rgb(209, 111, 179)"
"Rhubarb";"130D-5";"#AD3D7B";"rgb(173, 61, 123)"
"Sweet Spiceberry";"130D-6";"#9D276B";"rgb(157, 39, 107)"
"Cranapple";"130D-7";"#7B194B";"rgb(123, 25, 75)"
"Glaze White";"130E-1";"#EEE6EE";"rgb(238, 230, 238)"
"Fairview Taupe";"130E-2";"#DFCAD6";"rgb(223, 202, 214)"
"Rosy Tan";"130E-3";"#C8ABBB";"rgb(200, 171, 187)"
"Fond Memory";"130F-4";"#B298A6";"rgb(178, 152, 166)"
"Mushroom Basket";"130F-5";"#8C717E";"rgb(140, 113, 126)"
"Brazil Nut";"130F-6";"#755866";"rgb(117, 88, 102)"
"Semi Sweet";"130F-7";"#573F4A";"rgb(87, 63, 74)"
"Strawberry Yogurt";"140A-1";"#FAE1F0";"rgb(250, 225, 240)"
"Coy Pink";"140A-2";"#FDD4EE";"rgb(253, 212, 238)"
"Carnation Bloom";"140A-3";"#FEB1D9";"rgb(254, 177, 217)"
"Island Coral";"140B-4";"#FC89C5";"rgb(252, 137, 197)"
"Flamingo Dream";"140B-5";"#FA6AAD";"rgb(250, 106, 173)"
"Italiano Rose";"140B-6";"#D93D81";"rgb(217, 61, 129)"
"Frosted Pomegranate";"140B-7";"#AD1545";"rgb(173, 21, 69)"
"Southern Beauty";"140C-1";"#FBDAEE";"rgb(251, 218, 238)"
"My Fair Lady";"140C-2";"#FABCDE";"rgb(250, 188, 222)"
"Hibiscus Petal";"140C-3";"#F49ACB";"rgb(244, 154, 203)"
"Fresh Pink";"140D-4";"#EA79B1";"rgb(234, 121, 177)"
"Rose Chintz";"140D-5";"#C95991";"rgb(201, 89, 145)"
"Shangri La";"140D-6";"#AF3F72";"rgb(175, 63, 114)"
"Classic Cherry";"140D-7";"#8C1F46";"rgb(140, 31, 70)"
"Patient White";"140E-1";"#F2E5ED";"rgb(242, 229, 237)"
"Royal Silk";"140E-2";"#E1CBD7";"rgb(225, 203, 215)"
"Rose Bisque";"140E-3";"#C9A6BA";"rgb(201, 166, 186)"
"Bedford Brown";"140F-4";"#A3768A";"rgb(163, 118, 138)"
"Clay Ridge";"140F-5";"#8A5A71";"rgb(138, 90, 113)"
"Book Binder";"140F-6";"#704A5A";"rgb(112, 74, 90)"
"Embarcadero";"140F-7";"#493039";"rgb(73, 48, 57)"
"Silk Sheets";"150A-1";"#FCE0EC";"rgb(252, 224, 236)"
"Rose Sorbet";"150A-2";"#FECAE2";"rgb(254, 202, 226)"
"Mixed Fruit";"150A-3";"#FEABCB";"rgb(254, 171, 203)"
"Pink Eraser";"150B-4";"#FD8DB8";"rgb(253, 141, 184)"
"Cheery";"150B-5";"#FB6DA4";"rgb(251, 109, 164)"
"Firecracker";"150B-6";"#E8325E";"rgb(232, 50, 94)"
"Poinsettia";"150B-7";"#C6142E";"rgb(198, 20, 46)"
"Musical Mist";"150C-1";"#F9EAF4";"rgb(249, 234, 244)"
"Hawaiian Shell";"150C-2";"#F6D3E5";"rgb(246, 211, 229)"
"Arizona Sunrise";"150C-3";"#EFB3D0";"rgb(239, 179, 208)"
"Pale Berry";"150D-4";"#EB8FB9";"rgb(235, 143, 185)"
"Deep Bloom";"150D-5";"#C55B8A";"rgb(197, 91, 138)"
"Strawberry Rhubarb";"150D-6";"#B84472";"rgb(184, 68, 114)"
"Regal Red";"150D-7";"#8D2646";"rgb(141, 38, 70)"
"Delicate Blush";"150E-1";"#F3D6E2";"rgb(243, 214, 226)"
"Kashmir Pink";"150E-2";"#EDC7D7";"rgb(237, 199, 215)"
"Calico Rose";"150E-3";"#CE9BB3";"rgb(206, 155, 179)"
"Victorian Mauve";"150F-4";"#B5839D";"rgb(181, 131, 157)"
"Mulled Wine";"150F-5";"#925F79";"rgb(146, 95, 121)"
"Gallery Red";"150F-6";"#86415D";"rgb(134, 65, 93)"
"Burnt Tile";"150F-7";"#662B40";"rgb(102, 43, 64)"
"Cream Rose";"160A-1";"#FAE3EE";"rgb(250, 227, 238)"
"Pale Shrimp";"160A-2";"#FDD8E8";"rgb(253, 216, 232)"
"Pink Hydrangea";"160A-3";"#FEB6D4";"rgb(254, 182, 212)"
"Modestly Peach";"160B-4";"#F796B8";"rgb(247, 150, 184)"
"Candy Mix";"160B-5";"#EB6A9B";"rgb(235, 106, 155)"
"Coral Expression";"160B-6";"#E0467C";"rgb(224, 70, 124)"
"Daredevil";"160B-7";"#AA1D38";"rgb(170, 29, 56)"
"Floral Linen";"160C-1";"#FBDCEA";"rgb(251, 220, 234)"
"Flush Pink";"160C-2";"#FCC1DA";"rgb(252, 193, 218)"
"Rose Silk";"160C-3";"#EAA4BF";"rgb(234, 164, 191)"
"Strawberry Rose";"160D-4";"#E889AB";"rgb(232, 137, 171)"
"Lovable";"160D-5";"#CC5B7E";"rgb(204, 91, 126)"
"Pottery Red";"160D-6";"#AB3D5B";"rgb(171, 61, 91)"
"Cranberry Whip";"160D-7";"#812235";"rgb(129, 34, 53)"
"Milady";"160E-1";"#F2E4EC";"rgb(242, 228, 236)"
"Pink Water";"160E-2";"#E5CDD7";"rgb(229, 205, 215)"
"Rose Potpourri";"160E-3";"#C9A2B0";"rgb(201, 162, 176)"
"Ponder";"160F-4";"#B78997";"rgb(183, 137, 151)"
"Rum Spice";"160F-5";"#A46978";"rgb(164, 105, 120)"
"Boston Brick";"160F-6";"#793A4A";"rgb(121, 58, 74)"
"Burnished Mahogany";"160F-7";"#5F2E37";"rgb(95, 46, 55)"
"Pink Parfait";"170A-1";"#FDD9E6";"rgb(253, 217, 230)"
"Strawberry Mousse";"170A-2";"#FFC3D8";"rgb(255, 195, 216)"
"Ruffles";"170A-3";"#FFADC6";"rgb(255, 173, 198)"
"Cool Melon";"170B-4";"#FE89A6";"rgb(254, 137, 166)"
"Youthful Coral";"170B-5";"#F96083";"rgb(249, 96, 131)"
"Lipstick";"170B-6";"#E93254";"rgb(233, 50, 84)"
"Red Tomato";"170B-7";"#AE1B27";"rgb(174, 27, 39)"
"Berry Cheesecake";"170C-1";"#FCE3EC";"rgb(252, 227, 236)"
"Creamy Peach";"170C-2";"#FED2E0";"rgb(254, 210, 224)"
"Coral Bells";"170C-3";"#FFB9CF";"rgb(255, 185, 207)"
"Peach Tile";"170D-4";"#F894AF";"rgb(248, 148, 175)"
"Mellow Coral";"170D-5";"#E56F8F";"rgb(229, 111, 143)"
"Rose Wine";"170D-6";"#BC4665";"rgb(188, 70, 101)"
"Farmhouse Red";"170D-7";"#A12937";"rgb(161, 41, 55)"
"Reverie Pink";"170E-1";"#F5E7ED";"rgb(245, 231, 237)"
"Blush Beige";"170E-2";"#E9CCD7";"rgb(233, 204, 215)"
"Bridal Rose";"170E-3";"#DBB6C1";"rgb(219, 182, 193)"
"Fondue";"170F-4";"#CB9CAA";"rgb(203, 156, 170)"
"Brick Dust";"170F-5";"#B68790";"rgb(182, 135, 144)"
"Gentle Doe";"170F-6";"#915E6A";"rgb(145, 94, 106)"
"Leather Bound";"170F-7";"#66353F";"rgb(102, 53, 63)"
"Cloud Pink";"180A-1";"#FDE3E9";"rgb(253, 227, 233)"
"Romantic Morn";"180A-2";"#FECFDD";"rgb(254, 207, 221)"
"Just Blush";"180A-3";"#FFA4B7";"rgb(255, 164, 183)"
"Fruit Shake";"180B-4";"#FF89A1";"rgb(255, 137, 161)"
"Cool Lava";"180B-5";"#F65D74";"rgb(246, 93, 116)"
"Fiery Red";"180B-6";"#E93241";"rgb(233, 50, 65)"
"Chili Pepper";"180B-7";"#DB1E1D";"rgb(219, 30, 29)"
"Paris White";"180C-1";"#FAE1EB";"rgb(250, 225, 235)"
"Sandblast";"180C-2";"#F8C0D3";"rgb(248, 192, 211)"
"Rose Linen";"180C-3";"#ECA3B5";"rgb(236, 163, 181)"
"Coral Serenade";"180D-4";"#E1899C";"rgb(225, 137, 156)"
"Sahara Sun";"180D-5";"#CA5B74";"rgb(202, 91, 116)"
"Mineral Red";"180D-6";"#B04B5F";"rgb(176, 75, 95)"
"Roasted Pepper";"180D-7";"#812B37";"rgb(129, 43, 55)"
"Italian Villa";"180E-1";"#F0E7EB";"rgb(240, 231, 235)"
"Sugar Berry";"180E-2";"#E8D9DE";"rgb(232, 217, 222)"
"Plymouth Notch";"180E-3";"#CFB7BE";"rgb(207, 183, 190)"
"Desert Willow";"180F-4";"#AD9497";"rgb(173, 148, 151)"
"Cougar";"180F-5";"#917B7E";"rgb(145, 123, 126)"
"Brown Ridge";"180F-6";"#61484D";"rgb(97, 72, 77)"
"Warm Brownie";"180F-7";"#4D3637";"rgb(77, 54, 55)"
"Swiss Coffee 1812";"1812";"#F2F1E5";"rgb(242, 241, 229)"
"Cottage White 1813";"1813";"#F4ECD9";"rgb(244, 236, 217)"
"Navajo White 1822";"1822";"#ECE2C5";"rgb(236, 226, 197)"
"Antique White 1823";"1823";"#E7E2CA";"rgb(231, 226, 202)"
"Ultra Pure White 1850";"1850";"#FAFDF7";"rgb(250, 253, 247)"
"White 1852";"1852";"#EEF2EE";"rgb(238, 242, 238)"
"Frost 1857";"1857";"#F2F7F5";"rgb(242, 247, 245)"
"Linen White 1870";"1870";"#F7EEDC";"rgb(247, 238, 220)"
"Off White 1873";"1873";"#E7E9D7";"rgb(231, 233, 215)"
"Polar Bear 1875";"1875";"#F8F9F2";"rgb(248, 249, 242)"
"Soft Pink";"190A-1";"#FDE2E8";"rgb(253, 226, 232)"
"Coral Mantle";"190A-2";"#FFCEDB";"rgb(255, 206, 219)"
"Salmon Peach";"190A-3";"#FFB9C8";"rgb(255, 185, 200)"
"Duchess Rose";"190B-4";"#FF9AAB";"rgb(255, 154, 171)"
"Juicy Passionfruit";"190B-5";"#FC6C7A";"rgb(252, 108, 122)"
"Wet Coral";"190B-6";"#F44A4E";"rgb(244, 74, 78)"
"Fire Island";"190B-7";"#E32718";"rgb(227, 39, 24)"
"Frolic";"190C-1";"#FBE7EF";"rgb(251, 231, 239)"
"Full Bloom";"190C-2";"#FFC5D7";"rgb(255, 197, 215)"
"Sweet Nectar";"190C-3";"#FFAEC3";"rgb(255, 174, 195)"
"Rosy Outlook";"190D-4";"#FC9BB4";"rgb(252, 155, 180)"
"Peony Pink";"190D-5";"#EB7591";"rgb(235, 117, 145)"
"Red Jalapeno";"190D-6";"#C03F4F";"rgb(192, 63, 79)"
"Briquette";"190D-7";"#862730";"rgb(134, 39, 48)"
"Light Rosebeige";"190E-1";"#FBEDF0";"rgb(251, 237, 240)"
"Misty Memories";"190E-2";"#EFD2DD";"rgb(239, 210, 221)"
"Velveteen Crush";"190E-3";"#D0ADB6";"rgb(208, 173, 182)"
"Warm Comfort";"190F-4";"#B08591";"rgb(176, 133, 145)"
"Brandy";"190F-5";"#965B67";"rgb(150, 91, 103)"
"Bold Brick";"190F-6";"#7F484E";"rgb(127, 72, 78)"
"Mayan Red";"190F-7";"#563234";"rgb(86, 50, 52)"
"Peach Cloud";"200A-1";"#FDDFE6";"rgb(253, 223, 230)"
"Coral Cream";"200A-2";"#FFCBD5";"rgb(255, 203, 213)"
"Blushing Apricot";"200A-3";"#FFACB5";"rgb(255, 172, 181)"
"Citrus Hill";"200B-4";"#FF979A";"rgb(255, 151, 154)"
"Indian Dance";"200B-5";"#FF7E7F";"rgb(255, 126, 127)"
"Mesa Sunrise";"200B-6";"#F5635D";"rgb(245, 99, 93)"
"Fireglow";"200B-7";"#E23829";"rgb(226, 56, 41)"
"Hush Pink";"200C-1";"#FBE9F0";"rgb(251, 233, 240)"
"Botticelli Angel";"200C-2";"#FDDCE4";"rgb(253, 220, 228)"
"Spring Song";"200C-3";"#FDC3D1";"rgb(253, 195, 209)"
"Powdered Petals";"200D-4";"#F89EAF";"rgb(248, 158, 175)"
"Guava Jam";"200D-5";"#E87077";"rgb(232, 112, 119)"
"Mexican Chile";"200D-6";"#BD3D43";"rgb(189, 61, 67)"
"Rodeo Red";"200D-7";"#9B2B27";"rgb(155, 43, 39)"
"Possibly Pink";"200E-1";"#F7D9DE";"rgb(247, 217, 222)"
"Salmon Tint";"200E-2";"#F4CAD0";"rgb(244, 202, 208)"
"Cinnamon Cocoa";"200E-3";"#D3A4AB";"rgb(211, 164, 171)"
"Foxen";"200F-4";"#BE8689";"rgb(190, 134, 137)"
"Toasted Nutmeg";"200F-5";"#9A6462";"rgb(154, 100, 98)"
"Sequoia Grove";"200F-6";"#864541";"rgb(134, 69, 65)"
"Wine Barrel";"200F-7";"#683634";"rgb(104, 54, 52)"
"Cool Cream";"210A-1";"#FDE1E4";"rgb(253, 225, 228)"
"Coral Dune";"210A-2";"#FFCDD1";"rgb(255, 205, 209)"
"Malibu Peach";"210A-3";"#FFBBBE";"rgb(255, 187, 190)"
"Sunset Strip";"210B-4";"#FF9E9C";"rgb(255, 158, 156)"
