"Color Name";"Color Number";"Hex";"RGB"
"Bisque .01";"Bisque-01";"#FFFFFF";"rgb(255, 255, 255)"
"Imagine .01";"Imagine-01";"#F8FAF8";"rgb(248, 250, 248)"
"Imagine .02";"Imagine-02";"#FAFDF4";"rgb(250, 253, 244)"
"Imagine .03";"Imagine-03";"#F4F8E7";"rgb(244, 248, 231)"
"Imagine .04";"Imagine-04";"#F0EDDB";"rgb(240, 237, 219)"
"Imagine .05";"Imagine-05";"#F0F2F1";"rgb(240, 242, 241)"
"Imagine .06";"Imagine-06";"#EAE9E1";"rgb(234, 233, 225)"
"Bisque .02";"Bisque-02";"#F0EEE2";"rgb(240, 238, 226)"
"Bisque .03";"Bisque-03";"#E4E2D3";"rgb(228, 226, 211)"
"Air .01";"Air-01";"#FBF8E7";"rgb(251, 248, 231)"
"Air .02";"Air-02";"#ECE6D1";"rgb(236, 230, 209)"
"Air .03";"Air-03";"#E5DFC9";"rgb(229, 223, 201)"
"Bisque .05";"Bisque-05";"#D9D9C8";"rgb(217, 217, 200)"
"Air .05";"Air-05";"#E7FCED";"rgb(231, 252, 237)"
"Air .06";"Air-06";"#D7E2E5";"rgb(215, 226, 229)"
"Bisque .04";"Bisque-04";"#E0EDE6";"rgb(224, 237, 230)"
"Bisque .06";"Bisque-06";"#DAE2DD";"rgb(218, 226, 221)"
"Create .01";"Create-01";"#F8E7C9";"rgb(248, 231, 201)"
"Air .04";"Air-04";"#FFF5D1";"rgb(255, 245, 209)"
"Sprout .04";"Sprout-04";"#FEF2C2";"rgb(254, 242, 194)"
"Grain .01";"Grain-01";"#FFF0C2";"rgb(255, 240, 194)"
"Grain .02";"Grain-02";"#F4DEA8";"rgb(244, 222, 168)"
"Grain .03";"Grain-03";"#E9D19E";"rgb(233, 209, 158)"
"Grain .04";"Grain-04";"#E1C9A1";"rgb(225, 201, 161)"
"Grain .05";"Grain-05";"#DFBD87";"rgb(223, 189, 135)"
"Grain .06";"Grain-06";"#CA9F5E";"rgb(202, 159, 94)"
"Grain .07";"Grain-07";"#AF8A3A";"rgb(175, 138, 58)"
"Aspire .01";"Aspire-01";"#FBEFBB";"rgb(251, 239, 187)"
"Aspire .02";"Aspire-02";"#FAE39F";"rgb(250, 227, 159)"
"Aspire .03";"Aspire-03";"#EEDA9C";"rgb(238, 218, 156)"
"Aspire .04";"Aspire-04";"#F0D181";"rgb(240, 209, 129)"
"Aspire .05";"Aspire-05";"#EABE5B";"rgb(234, 190, 91)"
"Aspire .06";"Aspire-06";"#FFBA38";"rgb(255, 186, 56)"
"Beeswax .01";"Beeswax-01";"#EDD79A";"rgb(237, 215, 154)"
"Beeswax .02";"Beeswax-02";"#E9D095";"rgb(233, 208, 149)"
"Beeswax .03";"Beeswax-03";"#CEAA5B";"rgb(206, 170, 91)"
"Beeswax .04";"Beeswax-04";"#E0CD74";"rgb(224, 205, 116)"
"Beeswax .05";"Beeswax-05";"#C9B156";"rgb(201, 177, 86)"
"Beeswax .06";"Beeswax-06";"#B29445";"rgb(178, 148, 69)"
"Leaf .01";"Leaf-01";"#D2D1AD";"rgb(210, 209, 173)"
"Leaf .02";"Leaf-02";"#C1B98F";"rgb(193, 185, 143)"
"Leaf .03";"Leaf-03";"#C9CDBF";"rgb(201, 205, 191)"
"Glass .01";"Glass-01";"#D0D3B2";"rgb(208, 211, 178)"
"Glass .02";"Glass-02";"#C9CFB5";"rgb(201, 207, 181)"
"Glass .03";"Glass-03";"#B9BA99";"rgb(185, 186, 153)"
"Leaf .04";"Leaf-04";"#BCB472";"rgb(188, 180, 114)"
"Leaf .05";"Leaf-05";"#998F5B";"rgb(153, 143, 91)"
"Glass .04";"Glass-04";"#969873";"rgb(150, 152, 115)"
"Glass .05";"Glass-05";"#6E7E60";"rgb(110, 126, 96)"
"Glass .06";"Glass-06";"#696346";"rgb(105, 99, 70)"
"Leaf .06";"Leaf-06";"#CDD9C2";"rgb(205, 217, 194)"
"Sprout .05";"Sprout-05";"#DBE8A7";"rgb(219, 232, 167)"
"Leaf .07";"Leaf-07";"#DDE5A9";"rgb(221, 229, 169)"
"Thrive .01";"Thrive-01";"#D8DBAC";"rgb(216, 219, 172)"
"Thrive .02";"Thrive-02";"#CCCE7A";"rgb(204, 206, 122)"
"Petal .02";"Petal-02";"#C3D263";"rgb(195, 210, 99)"
"Thrive .03";"Thrive-03";"#B0C05D";"rgb(176, 192, 93)"
"Thrive .04";"Thrive-04";"#A2C8A1";"rgb(162, 200, 161)"
"Thrive .05";"Thrive-05";"#83AE82";"rgb(131, 174, 130)"
"Thrive .06";"Thrive-06";"#128458";"rgb(18, 132, 88)"
"Water .01";"Water-01";"#CFE9E0";"rgb(207, 233, 224)"
"Water .02";"Water-02";"#BCC8BC";"rgb(188, 200, 188)"
"Water .03";"Water-03";"#BBD0D2";"rgb(187, 208, 210)"
"Water .04";"Water-04";"#9FB4B4";"rgb(159, 180, 180)"
"Water .05";"Water-05";"#82979D";"rgb(130, 151, 157)"
"Wool .01";"Wool-01";"#C5D7D2";"rgb(197, 215, 210)"
"Wool .02";"Wool-02";"#C1CDCD";"rgb(193, 205, 205)"
"Wool .03";"Wool-03";"#A1ABAB";"rgb(161, 171, 171)"
"Water .06";"Water-06";"#9EAEA3";"rgb(158, 174, 163)"
"Water .07";"Water-07";"#A6CDC2";"rgb(166, 205, 194)"
"Sprout .01";"Sprout-01";"#ADE8E2";"rgb(173, 232, 226)"
"Sprout .03";"Sprout-03";"#CCDCE7";"rgb(204, 220, 231)"
"Dream .01";"Dream-01";"#CAE9EE";"rgb(202, 233, 238)"
"Dream .02";"Dream-02";"#BDE1DD";"rgb(189, 225, 221)"
"Dream .03";"Dream-03";"#B4CBD9";"rgb(180, 203, 217)"
"Dream .04";"Dream-04";"#9CC7C4";"rgb(156, 199, 196)"
"Dream .05";"Dream-05";"#18887C";"rgb(24, 136, 124)"
"Dream .06";"Dream-06";"#0E707B";"rgb(14, 112, 123)"
"Wool .05";"Wool-05";"#587675";"rgb(88, 118, 117)"
"Wool .06";"Wool-06";"#485761";"rgb(72, 87, 97)"
"Petal .05";"Petal-05";"#1F4992";"rgb(31, 73, 146)"
"Sprout .02";"Sprout-02";"#FCBA7D";"rgb(252, 186, 125)"
"Clay .01";"Clay-01";"#C49C6D";"rgb(196, 156, 109)"
"Clay .02";"Clay-02";"#CF8744";"rgb(207, 135, 68)"
"Clay .03";"Clay-03";"#A16941";"rgb(161, 105, 65)"
"Create .02";"Create-02";"#FF963A";"rgb(255, 150, 58)"
"Petal .01";"Petal-01";"#DF892A";"rgb(223, 137, 42)"
"Wood .01";"Wood-01";"#C68736";"rgb(198, 135, 54)"
"Wood .02";"Wood-02";"#B2683A";"rgb(178, 104, 58)"
"Create .03";"Create-03";"#C27136";"rgb(194, 113, 54)"
"Clay .04";"Clay-04";"#8C4D35";"rgb(140, 77, 53)"
"Clay .05";"Clay-05";"#752B22";"rgb(117, 43, 34)"
