"Color Name";"Color Number";"Hex";"RGB"
"DIC 1s";"1s";"#FAD2BA";"rgb(250, 210, 186)"
"DIC 2s";"2s";"#F6CCC2";"rgb(246, 204, 194)"
"DIC 3s";"3s";"#F0C4D7";"rgb(240, 196, 215)"
"DIC 4s*";"4s";"#FFAEB0";"rgb(255, 174, 176)"
"DIC 5s*";"5s";"#FFC1AE";"rgb(255, 193, 174)"
"DIC 6s*";"6s";"#FFB594";"rgb(255, 181, 148)"
"DIC 7s";"7s";"#FDC594";"rgb(253, 197, 148)"
"DIC 8s";"8s";"#FAD499";"rgb(250, 212, 153)"
"DIC 9s";"9s";"#F6E293";"rgb(246, 226, 147)"
"DIC 10s";"10s";"#DAE894";"rgb(218, 232, 148)"
"DIC 11s*";"11s";"#CBE591";"rgb(203, 229, 145)"
"DIC 12s*";"12s";"#C1DF8C";"rgb(193, 223, 140)"
"DIC 13s*";"13s";"#ADDC99";"rgb(173, 220, 153)"
"DIC 14s*";"14s";"#9BD79A";"rgb(155, 215, 154)"
"DIC 15s*";"15s";"#6CDAB9";"rgb(108, 218, 185)"
"DIC 16s*";"16s";"#74D9CE";"rgb(116, 217, 206)"
"DIC 17s*";"17s";"#8BDBD9";"rgb(139, 219, 217)"
"DIC 18s*";"18s";"#72D5D6";"rgb(114, 213, 214)"
"DIC 19s*";"19s";"#8ED2DA";"rgb(142, 210, 218)"
"DIC 20s";"20s";"#96D0DE";"rgb(150, 208, 222)"
"DIC 21s";"21s";"#B6D0E4";"rgb(182, 208, 228)"
"DIC 22s";"22s";"#CCD6E5";"rgb(204, 214, 229)"
"DIC 23s";"23s";"#E1BDD3";"rgb(225, 189, 211)"
"DIC 24s";"24s";"#F1B8D3";"rgb(241, 184, 211)"
"DIC 25s";"25s";"#F99DBA";"rgb(249, 157, 186)"
"DIC 26s*";"26s";"#FDA4BA";"rgb(253, 164, 186)"
"DIC 27s";"27s";"#F683AE";"rgb(246, 131, 174)"
"DIC 28s";"28s";"#FF8BA2";"rgb(255, 139, 162)"
"DIC 29s*";"29s";"#FF91A2";"rgb(255, 145, 162)"
"DIC 30s*";"30s";"#FFA88D";"rgb(255, 168, 141)"
"DIC 31s*";"31s";"#FFBA88";"rgb(255, 186, 136)"
"DIC 32s*";"32s";"#FDD08A";"rgb(253, 208, 138)"
"DIC 33s";"33s";"#F9E165";"rgb(249, 225, 101)"
"DIC 34s";"34s";"#DDE15D";"rgb(221, 225, 93)"
"DIC 35s*";"35s";"#C2DE79";"rgb(194, 222, 121)"
"DIC 36s*";"36s";"#95DB7B";"rgb(149, 219, 123)"
"DIC 37s*";"37s";"#90DC98";"rgb(144, 220, 152)"
"DIC 38s*";"38s";"#55D4A5";"rgb(85, 212, 165)"
"DIC 39s*";"39s";"#43D4B3";"rgb(67, 212, 179)"
"DIC 40s*";"40s";"#00CFBB";"rgb(0, 207, 187)"
"DIC 41s*";"41s";"#40CECA";"rgb(64, 206, 202)"
"DIC 42s*";"42s";"#4ACBD5";"rgb(74, 203, 213)"
"DIC 43s";"43s";"#82B8C4";"rgb(130, 184, 196)"
"DIC 44s*";"44s";"#A0BCDD";"rgb(160, 188, 221)"
