"Color Name";"Color Number";"Hex";"RGB"
"Putnam Plum";"DEA100";"#8D4362";"rgb(141, 67, 98)"
"Fiery Fuchsia";"DEA101";"#B7386E";"rgb(183, 56, 110)"
"Crimson Strawberry";"DEA102";"#9F2D47";"rgb(159, 45, 71)"
"Striking Red";"DEA103";"#C03543";"rgb(192, 53, 67)"
"Red Icon";"DEA104";"#C93543";"rgb(201, 53, 67)"
"Cherry Bomb";"DEA105";"#B73D3F";"rgb(183, 61, 63)"
"Red Contrast";"DEA106";"#B33234";"rgb(179, 50, 52)"
"Hot Jazz";"DEA107";"#BC3033";"rgb(188, 48, 51)"
"Red Power";"DEA108";"#D63D3B";"rgb(214, 61, 59)"
"Bonfire Flame";"DEA109";"#CE4E35";"rgb(206, 78, 53)"
"Untamed Orange";"DEA110";"#DE5730";"rgb(222, 87, 48)"
"Burning Tomato";"DEA111";"#EB5030";"rgb(235, 80, 48)"
"Exhuberant Orange";"DEA112";"#F0622F";"rgb(240, 98, 47)"
"Orange Burst";"DEA113";"#FF6E3A";"rgb(255, 110, 58)"
"Instant Orange";"DEA114";"#FF8D28";"rgb(255, 141, 40)"
"Orange Jewel";"DEA115";"#FF9731";"rgb(255, 151, 49)"
"Flash of Orange";"DEA116";"#FFAA00";"rgb(255, 170, 0)"
"Confident Yellow";"DEA117";"#FFCC13";"rgb(255, 204, 19)"
"Yellow Summer";"DEA118";"#F9B500";"rgb(249, 181, 0)"
"Electric Glow";"DEA119";"#FFD100";"rgb(255, 209, 0)"
"Goldenrod";"DEA120";"#FDCB18";"rgb(253, 203, 24)"
"Golden Lock";"DEA121";"#F5BC1D";"rgb(245, 188, 29)"
"Brassy";"DEA122";"#D5AB2C";"rgb(213, 171, 44)"
"Chartreuse";"DEA123";"#DAD000";"rgb(218, 208, 0)"
"Lime Twist";"DEA124";"#C6D624";"rgb(198, 214, 36)"
"In the Tropics";"DEA125";"#A3BC3A";"rgb(163, 188, 58)"
"Leprechaun";"DEA126";"#6CB037";"rgb(108, 176, 55)"
"Wild Forest";"DEA127";"#38914A";"rgb(56, 145, 74)"
"Spring Juniper";"DEA128";"#4A754A";"rgb(74, 117, 74)"
"Charmed Green";"DEA129";"#007F3A";"rgb(0, 127, 58)"
"Lucky Clover";"DEA130";"#006940";"rgb(0, 105, 64)"
"Teal Waters";"DEA131";"#007765";"rgb(0, 119, 101)"
"Ocean Oasis";"DEA132";"#006C68";"rgb(0, 108, 104)"
"Rare Turquoise";"DEA133";"#00748E";"rgb(0, 116, 142)"
"Aquatic";"DEA134";"#006477";"rgb(0, 100, 119)"
"Deep Ocean";"DEA135";"#2A4B5F";"rgb(42, 75, 95)"
"Beautiful Blue";"DEA136";"#186DB6";"rgb(24, 109, 182)"
"Deep Sapphire";"DEA137";"#1D4E8F";"rgb(29, 78, 143)"
"Indigo Night";"DEA138";"#324680";"rgb(50, 70, 128)"
"Nautical";"DEA139";"#2E4A7D";"rgb(46, 74, 125)"
"Cobalt";"DEA140";"#3C4378";"rgb(60, 67, 120)"
"Grand Purple";"DEA141";"#534778";"rgb(83, 71, 120)"
"Violet Majesty";"DEA142";"#644982";"rgb(100, 73, 130)"
"Purple Odyssey";"DEA143";"#643E65";"rgb(100, 62, 101)"
"Passionate Plum";"DEA144";"#753A58";"rgb(117, 58, 88)"
"Wine Stain";"DEA145";"#69444F";"rgb(105, 68, 79)"
"Scarlet Apple";"DEA146";"#922E4A";"rgb(146, 46, 74)"
"Garnet Evening";"DEA147";"#763B42";"rgb(118, 59, 66)"
"Sunken Ship";"DEA148";"#6B443D";"rgb(107, 68, 61)"
"Spiced Berry";"DEA149";"#85443F";"rgb(133, 68, 63)"
"Scarlet Past";"DEA150";"#A53B3D";"rgb(165, 59, 61)"
"Red Ink";"DEA151";"#AC3235";"rgb(172, 50, 53)"
"Deep Crimson";"DEA152";"#8F423D";"rgb(143, 66, 61)"
"Glitzy Red";"DEA153";"#AF413B";"rgb(175, 65, 59)"
"Red Revival";"DEA154";"#A8453B";"rgb(168, 69, 59)"
"Arabian Red";"DEA155";"#A14C3F";"rgb(161, 76, 63)"
"Cherry Cola";"DEA156";"#894C3B";"rgb(137, 76, 59)"
"Cellar Door";"DEA157";"#7C503F";"rgb(124, 80, 63)"
"Northern Territory";"DEA158";"#5E463C";"rgb(94, 70, 60)"
"Rich Mocha";"DEA159";"#745342";"rgb(116, 83, 66)"
"Hope Chest";"DEA160";"#875942";"rgb(135, 89, 66)"
"Wild Mustang";"DEA161";"#695649";"rgb(105, 86, 73)"
"Log Cabin";"DEA162";"#705A46";"rgb(112, 90, 70)"
"Rodeo";"DEA163";"#7F5E46";"rgb(127, 94, 70)"
"Autumn Bark";"DEA164";"#9D6F46";"rgb(157, 111, 70)"
"Hearth Gold";"DEA165";"#A17135";"rgb(161, 113, 53)"
"Tavern Creek";"DEA166";"#957046";"rgb(149, 112, 70)"
"Antique Penny";"DEA167";"#957747";"rgb(149, 119, 71)"
"Pirate's Gold";"DEA168";"#B08F42";"rgb(176, 143, 66)"
"Peppered Moss";"DEA169";"#807548";"rgb(128, 117, 72)"
"Sea Turtle";"DEA170";"#818A40";"rgb(129, 138, 64)"
"Bay Leaf";"DEA171";"#86793D";"rgb(134, 121, 61)"
"Camouflage";"DEA172";"#7E7150";"rgb(126, 113, 80)"
"Frond";"DEA173";"#7B7F56";"rgb(123, 127, 86)"
"Olive Court";"DEA174";"#5F5D48";"rgb(95, 93, 72)"
"Black Forest";"DEA175";"#5E6354";"rgb(94, 99, 84)"
"Iron River";"DEA176";"#4D504B";"rgb(77, 80, 75)"
"Holly Bush";"DEA177";"#355D51";"rgb(53, 93, 81)"
"Billiard Table";"DEA178";"#155843";"rgb(21, 88, 67)"
"Enchanting Ivy";"DEA179";"#315955";"rgb(49, 89, 85)"
"Deep Pine";"DEA180";"#254A47";"rgb(37, 74, 71)"
"Refined Green";"DEA181";"#384543";"rgb(56, 69, 67)"
"Encore Teal";"DEA182";"#30525B";"rgb(48, 82, 91)"
"Dark Shadows";"DEA183";"#455559";"rgb(69, 85, 89)"
"Parisian Night";"DEA184";"#3F4855";"rgb(63, 72, 85)"
"Old Mill";"DEA185";"#343B4E";"rgb(52, 59, 78)"
"Black Pearl";"DEA186";"#4A4F5A";"rgb(74, 79, 90)"
"Black";"DEA187";"#3B3A3A";"rgb(59, 58, 58)"
"Black Bay";"DEA188";"#474A4E";"rgb(71, 74, 78)"
"Black River Falls";"DEA189";"#343E54";"rgb(52, 62, 84)"
"Blue Suede Shoes";"DEA190";"#484B62";"rgb(72, 75, 98)"
"Magic Night";"DEA191";"#3A3B5B";"rgb(58, 59, 91)"
"Violet Shadow";"DEA192";"#4D4860";"rgb(77, 72, 96)"
"Preserve";"DEA193";"#4A3C50";"rgb(74, 60, 80)"
"Mulberry";"DEA194";"#593C50";"rgb(89, 60, 80)"
"Primitive Plum";"DEA195";"#663C55";"rgb(102, 60, 85)"
"Icy Lilac";"DE5903";"#E6E9F9";"rgb(230, 233, 249)"
"Flax Bloom";"DE5904";"#D2D8F4";"rgb(210, 216, 244)"
"Larkspur Bud";"DE5905";"#B7C0EA";"rgb(183, 192, 234)"
"Periwinkle";"DE5906";"#97A3DA";"rgb(151, 163, 218)"
"Twilight Twinkle";"DE5907";"#7B85C6";"rgb(123, 133, 198)"
"Bellflower";"DE5908";"#5D66AA";"rgb(93, 102, 170)"
"Beaded Blue";"DE5909";"#494D8B";"rgb(73, 77, 139)"
"Whisper Blue";"DE5910";"#E5E8F2";"rgb(229, 232, 242)"
"Chill in the Air";"DE5911";"#D1D5E7";"rgb(209, 213, 231)"
"Hazy Sky";"DE5912";"#B7BDD6";"rgb(183, 189, 214)"
"Midnight Blush";"DE5913";"#979FBF";"rgb(151, 159, 191)"
"Bossa Nova Blue";"DE5914";"#767C9E";"rgb(118, 124, 158)"
"Champion Blue";"DE5915";"#606788";"rgb(96, 103, 136)"
"Intergalactic";"DE5916";"#4D516C";"rgb(77, 81, 108)"
"Frosty Fog";"DE5917";"#DEE1E9";"rgb(222, 225, 233)"
"Pale Shale";"DE5918";"#CACFDC";"rgb(202, 207, 220)"
"Spacious Sky";"DE5919";"#AEB5C7";"rgb(174, 181, 199)"
"London Fog";"DE5920";"#8D95AA";"rgb(141, 149, 170)"
"Your Shadow";"DE5921";"#787E93";"rgb(120, 126, 147)"
"Pencil Lead";"DE5922";"#5C6274";"rgb(92, 98, 116)"
"Deep Mystery";"DE5923";"#494C59";"rgb(73, 76, 89)"
"Icy Lavender";"DE5924";"#E2E2ED";"rgb(226, 226, 237)"
"Hailstorm";"DE5925";"#D0D1E1";"rgb(208, 209, 225)"
"Madder Blue";"DE5926";"#B5B6CE";"rgb(181, 182, 206)"
"Charcoal Dust";"DE5927";"#9497B3";"rgb(148, 151, 179)"
"Blue Intrigue";"DE5928";"#7F809C";"rgb(127, 128, 156)"
"Purple Daze";"DE5929";"#63647E";"rgb(99, 100, 126)"
"Legendary Purple";"DE5930";"#4E4E63";"rgb(78, 78, 99)"
"Cool Frost";"DE5931";"#E7E6ED";"rgb(231, 230, 237)"
"Tranquil Sea";"DE5932";"#D2D2DF";"rgb(210, 210, 223)"
"Winter Dusk";"DE5933";"#B8B8CB";"rgb(184, 184, 203)"
"Bay Fog";"DE5934";"#9899B0";"rgb(152, 153, 176)"
"Soft Charcoal";"DE5935";"#838298";"rgb(131, 130, 152)"
"Graphite";"DE5936";"#656579";"rgb(101, 101, 121)"
"Night Night";"DE5937";"#4F4F5E";"rgb(79, 79, 94)"
"Dusk";"DE5938";"#EEE9F9";"rgb(238, 233, 249)"
"Lavender Sky";"DE5939";"#DBD7F2";"rgb(219, 215, 242)"
"Violet Gems";"DE5940";"#C4C0E9";"rgb(196, 192, 233)"
"Simply Violet";"DE5941";"#A6A1D7";"rgb(166, 161, 215)"
"Faraway Sky";"DE5942";"#8980C1";"rgb(137, 128, 193)"
"Mardi Gras";"DE5943";"#665D9E";"rgb(102, 93, 158)"
"Fresh Eggplant";"DE5944";"#4F467E";"rgb(79, 70, 126)"
"Modest Violet";"DE5945";"#E9E4EF";"rgb(233, 228, 239)"
"Violet Crush";"DE5946";"#D8D3E6";"rgb(216, 211, 230)"
"Playful Purple ";"DE5947";"#BFB9D5";"rgb(191, 185, 213)"
"Grape Gatsby";"DE5948";"#A19ABD";"rgb(161, 154, 189)"
"Grape Jam";"DE5949";"#7F779A";"rgb(127, 119, 154)"
"Purple Gumball";"DE5950";"#6A6283";"rgb(106, 98, 131)"
"Exotic Evening";"DE5951";"#58516E";"rgb(88, 81, 110)"
"Tranquil Eve";"DE5952";"#ECE7F2";"rgb(236, 231, 242)"
"Alpine Moon";"DE5953";"#DED3E6";"rgb(222, 211, 230)"
"Soft Purple";"DE5954";"#C8BAD4";"rgb(200, 186, 212)"
"Purple Springs";"DE5955";"#AB9BBC";"rgb(171, 155, 188)"
"Pale Eggplant";"DE5956";"#8A779A";"rgb(138, 119, 154)"
"Princely Violet";"DE5957";"#6D5C7B";"rgb(109, 92, 123)"
"Purple Potion";"DE5958";"#5C4F6A";"rgb(92, 79, 106)"
"Lingering Lilac";"DE5959";"#E6DEF0";"rgb(230, 222, 240)"
"Shimmering Sky";"DE5960";"#DBD1E8";"rgb(219, 209, 232)"
"Tinted Iris";"DE5961";"#C4B7D8";"rgb(196, 183, 216)"
"Ode to Purple";"DE5962";"#A798C2";"rgb(167, 152, 194)"
"Smashed Grape";"DE5963";"#8775A1";"rgb(135, 117, 161)"
"Concord Jam";"DE5964";"#695A82";"rgb(105, 90, 130)"
"Roman Purple";"DE5965";"#524765";"rgb(82, 71, 101)"
"Perfume Haze";"DE5966";"#F3E9F7";"rgb(243, 233, 247)"
"Pouty Purple";"DE5967";"#E7D7EF";"rgb(231, 215, 239)"
"York Plum";"DE5968";"#D3BFE5";"rgb(211, 191, 229)"
"Purple Premiere";"DE5969";"#B9A0D2";"rgb(185, 160, 210)"
"Lush Lilac";"DE5970";"#9D7EB7";"rgb(157, 126, 183)"
"Jubilee";"DE5971";"#7E6099";"rgb(126, 96, 153)"
"Royal Robe";"DE5972";"#614A7B";"rgb(97, 74, 123)"
"Snow Plum";"DE5973";"#F4EAF0";"rgb(244, 234, 240)"
"Soft Lilac";"DE5974";"#E2D4DF";"rgb(226, 212, 223)"
"Antique Heather";"DE5975";"#CDBACB";"rgb(205, 186, 203)"
