"Color Name";"Color Number";"Hex";"RGB"
"Child of Heaven";"DCP-0004";"#F0ECE1";"rgb(240, 236, 225)"
"Alchemy";"DCP-0251";"#EED9BA";"rgb(238, 217, 186)"
"Cheddar Corn";"DCP-1001";"#F5DBC2";"rgb(245, 219, 194)"
"Pink Satin";"DCP-1057";"#F4D0C2";"rgb(244, 208, 194)"
"Bedtime Story";"DCP-1009";"#E3BEA4";"rgb(227, 190, 164)"
"Lady Nicole";"DCP-0030";"#DDDDD5";"rgb(221, 221, 213)"
"Perspective";"DCP-0749";"#C8D4BE";"rgb(200, 212, 190)"
"Creamy Mint";"DCP-0755";"#D4E2C8";"rgb(212, 226, 200)"
"Wonder Woods";"DCP-0772";"#B9D696";"rgb(185, 214, 150)"
"Perrenial Garden";"DCP-0759";"#9AB68E";"rgb(154, 182, 142)"
"Stardust Ballroom";"DCP-1308";"#E0D7DC";"rgb(224, 215, 220)"
"So Dainty";"DCP-1309";"#D4CAD3";"rgb(212, 202, 211)"
"Calamities";"DCP-1315";"#CDCDD5";"rgb(205, 205, 213)"
"Savoy";"DCP-1316";"#C8C8D0";"rgb(200, 200, 208)"
"Dusky Mood";"DCP-1318";"#A6ACB8";"rgb(166, 172, 184)"
"Dove White";"DCP-0018";"#E9E6DF";"rgb(233, 230, 223)"
"Florito";"DCP-0371";"#C9CBBE";"rgb(201, 203, 190)"
"Drifting Sand";"DCP-0218";"#B6B2A9";"rgb(182, 178, 169)"
"Camel's Hump";"DCP-0219";"#989187";"rgb(152, 145, 135)"
"Baby Sprout";"DCP-0134";"#B6A39C";"rgb(182, 163, 156)"
"Mellow Blue";"DCP-0468";"#DDE8E2";"rgb(221, 232, 226)"
"Fair Maiden";"DCP-0456";"#B3C3B9";"rgb(179, 195, 185)"
"Simply Sparkling";"DCP-0594";"#BCCEE6";"rgb(188, 206, 230)"
"John's Blue";"DCP-0617";"#97B2CD";"rgb(151, 178, 205)"
"Celestial Horizon";"DCP-0589";"#8FA4BF";"rgb(143, 164, 191)"
"Kiara";"DCP-0005";"#F2ECDE";"rgb(242, 236, 222)"
"Golden Weave";"DCP-0888";"#E9DEC8";"rgb(233, 222, 200)"
"Star of Gold";"DCP-0323";"#C5BA9A";"rgb(197, 186, 154)"
"Olive Gold";"DCP-0281";"#C7BBA3";"rgb(199, 187, 163)"
"Tan Hide";"DCP-0261";"#B29B79";"rgb(178, 155, 121)"
"Spanish Red";"7473";"#732318";"rgb(115, 35, 24)"
"Baguio Green";"7455";"#015B41";"rgb(1, 91, 65)"
"Terra Cotta";"7472";"#864326";"rgb(134, 67, 38)"
"Brick Orange";"7476";"#C27654";"rgb(194, 118, 84)"
"Delft Blue";"7447";"#003B67";"rgb(0, 59, 103)"
"Laguna White";"7411";"#C8CDC9";"rgb(200, 205, 201)"
"Sierra Beige";"7425";"#A99E80";"rgb(169, 158, 128)"
"Ivory White";"D-6722";"#EEC784";"rgb(238, 199, 132)"
"Silver Gray";"D-6730";"#857F69";"rgb(133, 127, 105)"
"Royal Blue";"D-6740";"#1D375C";"rgb(29, 55, 92)"
"Sky Blue";"D-6742";"#7AC2D8";"rgb(122, 194, 216)"
"Ocean Blue";"D-6743";"#4C6A74";"rgb(76, 106, 116)"
"International Red";"D-6771";"#9D0B1E";"rgb(157, 11, 30)"
"Dark Chocolate";"D-6782";"#392A27";"rgb(57, 42, 39)"
"Maple";"D-6784";"#7D5436";"rgb(125, 84, 54)"
"Jade Green";"D-6756";"#1E6A43";"rgb(30, 106, 67)"
"Lemon Yellow";"D-6761";"#FFC700";"rgb(255, 199, 0)"
"Caterpillar Yellow";"D-6765";"#AF7C20";"rgb(175, 124, 32)"
"Grass Green";"D-6753";"#317455";"rgb(49, 116, 85)"
"Dark Green";"D-6751";"#214136";"rgb(33, 65, 54)"
"Orange";"D-6776";"#DE4A00";"rgb(222, 74, 0)"
"Maroon";"D-6773";"#4F2318";"rgb(79, 35, 24)"
"Caramel Brown";"D-6783";"#8D5033";"rgb(141, 80, 51)"
"Tulle White";"VS-9101";"#F8F8EC";"rgb(248, 248, 236)"
"Winter Morning";"VS-9102";"#FEF4EB";"rgb(254, 244, 235)"
"Bora Sand";"VS-9110";"#FEF4EB";"rgb(254, 244, 235)"
"Light Silver";"VS-9112";"#FFEEE7";"rgb(255, 238, 231)"
