"Color Name";"Color Number";"Hex";"RGB"
"All White";"2005";"#FBF8F4";"rgb(251, 248, 244)"
"Wevet";"273";"#EEE9E7";"rgb(238, 233, 231)"
"Wimborne White";"239";"#F7F3E8";"rgb(247, 243, 232)"
"Pointing";"2003";"#F7F1E3";"rgb(247, 241, 227)"
"James White";"2010";"#EDE9D8";"rgb(237, 233, 216)"
"Stony Ground";"211";"#CEC1AD";"rgb(206, 193, 173)"
"White Tie";"2002";"#F5ECD9";"rgb(245, 236, 217)"
"New White";"59";"#F5E8D0";"rgb(245, 232, 208)"
"Matchstick";"2013";"#E4D5BC";"rgb(228, 213, 188)"
"String";"8";"#DDCDAE";"rgb(221, 205, 174)"
"Savage Ground";"213";"#D8C4A8";"rgb(216, 196, 168)"
"Cord";"16";"#D6C39E";"rgb(214, 195, 158)"
"Slipper Satin";"2004";"#E8E0D1";"rgb(232, 224, 209)"
"Lime White";"1";"#E8DEC9";"rgb(232, 222, 201)"
"Off-White";"3";"#E0D5BE";"rgb(224, 213, 190)"
"Old White";"4";"#CFC3AD";"rgb(207, 195, 173)"
"Light Gray";"17";"#B4A693";"rgb(180, 166, 147)"
"Mouse's Back";"40";"#998976";"rgb(153, 137, 118)"
"School House White";"291";"#E6DFD1";"rgb(230, 223, 209)"
"Shadow White";"282";"#DED8C6";"rgb(222, 216, 198)"
"Shaded White";"201";"#D9D2C1";"rgb(217, 210, 193)"
"Drop Cloth";"283";"#C9BEAB";"rgb(201, 190, 171)"
"Bone";"15";"#CEC3AD";"rgb(206, 195, 173)"
"Hardwick White";"5";"#B5AFA0";"rgb(181, 175, 160)"
"Dimity";"2008";"#EEE3D3";"rgb(238, 227, 211)"
"Joa's White";"226";"#DECFB9";"rgb(222, 207, 185)"
"Oxford Stone";"264";"#D6C2AC";"rgb(214, 194, 172)"
"London Stone";"6";"#B6A38F";"rgb(182, 163, 143)"
"Dead Salmon";"28";"#B49D8D";"rgb(180, 157, 141)"
"Salon Drab";"290";"#726454";"rgb(114, 100, 84)"
"Strong White";"2001";"#E5E0DB";"rgb(229, 224, 219)"
"Ammonite";"274";"#DDD8CF";"rgb(221, 216, 207)"
"Cornforth White";"228";"#D1CBC3";"rgb(209, 203, 195)"
"Purbeck Stone";"275";"#C4BEB4";"rgb(196, 190, 180)"
"Worsted";"284";"#D3CFCD";"rgb(211, 207, 205)"
"Mole's Breath";"276";"#8B857F";"rgb(139, 133, 127)"
"Cromarty";"285";"#CFCEC0";"rgb(207, 206, 192)"
"Mizzle";"266";"#C0C2B3";"rgb(192, 194, 179)"
"Blue Gray";"91";"#B4B4A3";"rgb(180, 180, 163)"
"Pigeon";"25";"#A1A093";"rgb(161, 160, 147)"
"French Gray";"18";"#B5B19A";"rgb(181, 177, 154)"
"Treron";"292";"#8B8A77";"rgb(139, 138, 119)"
"Blackened";"2011";"#DDDBD9";"rgb(221, 219, 217)"
"Dimpse";"277";"#D9D8D3";"rgb(217, 216, 211)"
"Pavilion Gray";"242";"#C8C3BC";"rgb(200, 195, 188)"
"Lamp Room Gray";"88";"#B2B1A9";"rgb(178, 177, 169)"
"Manor House Gray";"265";"#A2A29D";"rgb(162, 162, 157)"
"Plummett";"272";"#8D8D8B";"rgb(141, 141, 139)"
"Skimming Stone";"241";"#DFD6CB";"rgb(223, 214, 203)"
"Elephant's Breath";"229";"#CCBFB3";"rgb(204, 191, 179)"
"Dove Tale";"267";"#BBB1AB";"rgb(187, 177, 171)"
"Charleston Gray";"243";"#9F9389";"rgb(159, 147, 137)"
"London Clay";"244";"#786963";"rgb(120, 105, 99)"
"Brinjal";"222";"#5D3B42";"rgb(93, 59, 66)"
"Jitney";"293";"#C4B2A2";"rgb(196, 178, 162)"
"Peignoir";"286";"#D6C8C3";"rgb(214, 200, 195)"
"Calluna";"270";"#CCC8CE";"rgb(204, 200, 206)"
"Brassica";"271";"#8D8089";"rgb(141, 128, 137)"
"Pelt";"254";"#50414C";"rgb(80, 65, 76)"
"Paean Black";"294";"#494248";"rgb(73, 66, 72)"
"Middleton Pink";"245";"#FDE7E5";"rgb(253, 231, 229)"
"Calamine";"230";"#E6D1CB";"rgb(230, 209, 203)"
"Nancy's Blushes";"278";"#ECB7B8";"rgb(236, 183, 184)"
"Red Earth";"64";"#C57B67";"rgb(197, 123, 103)"
"Picture Gallery Red";"42";"#A15A4D";"rgb(161, 90, 77)"
"Incarnadine";"248";"#A04344";"rgb(160, 67, 68)"
"Great White";"2006";"#E7DEDB";"rgb(231, 222, 219)"
"Sulking Room Pink";"295";"#A0837F";"rgb(160, 131, 127)"
