"Color Name";"Color Number";"Hex";"RGB"
"HKS 1 E";"1-E";"#FAD666";"rgb(250, 214, 102)"
"HKS 2 E";"2-E";"#EED82E";"rgb(238, 216, 46)"
"HKS 3 E";"3-E";"#F9D922";"rgb(249, 217, 34)"
"HKS 4 E";"4-E";"#FFC527";"rgb(255, 197, 39)"
"HKS 5 E";"5-E";"#FFC037";"rgb(255, 192, 55)"
"HKS 6 E";"6-E";"#FFA43C";"rgb(255, 164, 60)"
"HKS 7 E";"7-E";"#FF813C";"rgb(255, 129, 60)"
"HKS 207 E";"207-E";"#FF893E";"rgb(255, 137, 62)"
"HKS 8 E";"8-E";"#FF7441";"rgb(255, 116, 65)"
"HKS 10 E";"10-E";"#FD6B44";"rgb(253, 107, 68)"
"HKS 11 E";"11-E";"#FF9C7E";"rgb(255, 156, 126)"
"HKS 12 E";"12-E";"#EF5E49";"rgb(239, 94, 73)"
"HKS 13 E";"13-E";"#F55A4F";"rgb(245, 90, 79)"
"HKS 14 E";"14-E";"#E55149";"rgb(229, 81, 73)"
"HKS 15 E";"15-E";"#E3495A";"rgb(227, 73, 90)"
"HKS 16 E";"16-E";"#BC5959";"rgb(188, 89, 89)"
"HKS 17 E";"17-E";"#C45163";"rgb(196, 81, 99)"
"HKS 18 E";"18-E";"#A64C5B";"rgb(166, 76, 91)"
"HKS 21 E";"21-E";"#FD8999";"rgb(253, 137, 153)"
"HKS 22 E";"22-E";"#F65B4F";"rgb(246, 91, 79)"
"HKS 23 E";"23-E";"#E64E5B";"rgb(230, 78, 91)"
"HKS 24 E";"24-E";"#DD4E6E";"rgb(221, 78, 110)"
"HKS 25 E";"25-E";"#D5487A";"rgb(213, 72, 122)"
"HKS 26 E";"26-E";"#D24A85";"rgb(210, 74, 133)"
"HKS 27 E";"27-E";"#DD3F8E";"rgb(221, 63, 142)"
"HKS 28 E";"28-E";"#C44B68";"rgb(196, 75, 104)"
"HKS 29 E";"29-E";"#B03F9A";"rgb(176, 63, 154)"
"HKS 31 E";"31-E";"#CF448E";"rgb(207, 68, 142)"
"HKS 32 E";"32-E";"#DB3F81";"rgb(219, 63, 129)"
"HKS 33 E";"33-E";"#AD41A8";"rgb(173, 65, 168)"
"HKS 34 E";"34-E";"#844AA3";"rgb(132, 74, 163)"
"HKS 35 E";"35-E";"#5A5199";"rgb(90, 81, 153)"
"HKS 36 E";"36-E";"#7753A9";"rgb(119, 83, 169)"
"HKS 37 E";"37-E";"#6D508F";"rgb(109, 80, 143)"
"HKS 38 E";"38-E";"#545F77";"rgb(84, 95, 119)"
"HKS 39 E";"39-E";"#247ECB";"rgb(36, 126, 203)"
"HKS 40 E";"40-E";"#008EB5";"rgb(0, 142, 181)"
"HKS 41 E";"41-E";"#4C5D79";"rgb(76, 93, 121)"
"HKS 42 E";"42-E";"#4A6AAD";"rgb(74, 106, 173)"
"HKS 43 E";"43-E";"#435FBC";"rgb(67, 95, 188)"
"HKS 243 E";"243-E";"#286BBB";"rgb(40, 107, 187)"
"HKS 44 E";"44-E";"#157ABC";"rgb(21, 122, 188)"
"HKS 45 E";"45-E";"#5861A2";"rgb(88, 97, 162)"
"HKS 46 E";"46-E";"#208CB6";"rgb(32, 140, 182)"
"HKS 47 E";"47-E";"#008FCD";"rgb(0, 143, 205)"
