"Color Name";"Color Number";"Hex";"RGB"
"Hint Of Vanilla";"1";"#EEE8DC";"rgb(238, 232, 220)"
"Elusive White";"2";"#E8E3D6";"rgb(232, 227, 214)"
"Nilla Vanilla";"3";"#F1EBE0";"rgb(241, 235, 224)"
"Child Of Heaven";"4";"#F1EBE0";"rgb(241, 235, 224)"
"Kiara";"5";"#F5ECDC";"rgb(245, 236, 220)"
"Little Dove";"6";"#EBE0CE";"rgb(235, 224, 206)"
"Cotton Ball";"7";"#F5EFDE";"rgb(245, 239, 222)"
"Casa Blanca";"8";"#F4ECD8";"rgb(244, 236, 216)"
"Chapel Wall";"9";"#F3EAD7";"rgb(243, 234, 215)"
"Petticoat";"10";"#EFE5CE";"rgb(239, 229, 206)"
"Sugar Dust";"11";"#F8F6ED";"rgb(248, 246, 237)"
"Bunny Cake";"12";"#F5EFE2";"rgb(245, 239, 226)"
"Sphere";"13";"#F2E8CC";"rgb(242, 232, 204)"
"Twill";"14";"#F0E8D3";"rgb(240, 232, 211)"
"White Glove";"15";"#F9F4E3";"rgb(249, 244, 227)"
"Pumice Stone";"16";"#F7F1DF";"rgb(247, 241, 223)"
"Luna Moon";"17";"#ECEAE1";"rgb(236, 234, 225)"
"Dove White";"18";"#E6E2D8";"rgb(230, 226, 216)"
"Mystic Fog";"19";"#EAE9E1";"rgb(234, 233, 225)"
"Bonaire";"20";"#E6E2D7";"rgb(230, 226, 215)"
"Barely White";"21";"#E1E3DD";"rgb(225, 227, 221)"
"White Kitten";"22";"#DFDFDB";"rgb(223, 223, 219)"
"Shell Tint";"23";"#ECF0E9";"rgb(236, 240, 233)"
"Just About White";"24";"#E8E8E0";"rgb(232, 232, 224)"
"Prismatic Pearl";"25";"#EAE8DD";"rgb(234, 232, 221)"
"Moon Drop";"26";"#DDD5C9";"rgb(221, 213, 201)"
"White Fence";"27";"#E8E4D9";"rgb(232, 228, 217)"
"Bannister White";"28";"#E1E0D6";"rgb(225, 224, 214)"
"Cherish Is The Word";"29";"#E6E4DA";"rgb(230, 228, 218)"
"Lady Nicole";"30";"#D6D6CD";"rgb(214, 214, 205)"
"Italian Ice";"31";"#E2E0D3";"rgb(226, 224, 211)"
"Ice Dream";"32";"#EAEBE1";"rgb(234, 235, 225)"
"Chafed Wheat";"33";"#F6E0CF";"rgb(246, 224, 207)"
"Here Comes The Sun";"34";"#F1D0BE";"rgb(241, 208, 190)"
"Weekend Retreat";"35";"#E9C2AD";"rgb(233, 194, 173)"
"Fortune's Prize";"36";"#DAA994";"rgb(218, 169, 148)"
"Money Tree";"37";"#C9937A";"rgb(201, 147, 122)"
"Autumn's Hill";"38";"#BA7A61";"rgb(186, 122, 97)"
"Mandalay Road";"39";"#A05F45";"rgb(160, 95, 69)"
"Antique Candle Light";"40";"#F4E1D6";"rgb(244, 225, 214)"
"Chinese Cherry";"41";"#F1D7CB";"rgb(241, 215, 203)"
"Antoinette Pink";"42";"#E7C2B4";"rgb(231, 194, 180)"
"Angel Breath";"43";"#DCAF9F";"rgb(220, 175, 159)"
"Calliope";"44";"#C89A8D";"rgb(200, 154, 141)"
"Sizzling Hot";"45";"#A36956";"rgb(163, 105, 86)"
"Valentino";"46";"#7F4738";"rgb(127, 71, 56)"
"Sand Island";"47";"#F4D1C2";"rgb(244, 209, 194)"
"Embrace";"48";"#E8B8A7";"rgb(232, 184, 167)"
"Auburn Wave";"49";"#D8A394";"rgb(216, 163, 148)"
"Simmering Ridge";"50";"#CB9281";"rgb(203, 146, 129)"
"Caramel Candy";"51";"#B3715D";"rgb(179, 113, 93)"
"Spiced Carrot";"52";"#A4624C";"rgb(164, 98, 76)"
"Remaining Embers";"53";"#8A4C38";"rgb(138, 76, 56)"
"Wink Pink";"54";"#F8E8DF";"rgb(248, 232, 223)"
"Strawberry Whip";"55";"#F9D7CD";"rgb(249, 215, 205)"
"Dainty Debutante";"56";"#F4BDB3";"rgb(244, 189, 179)"
"Marble Pink";"57";"#D28279";"rgb(210, 130, 121)"
"Angelic Choir";"58";"#B8665C";"rgb(184, 102, 92)"
"Quintessential";"59";"#8C4F46";"rgb(140, 79, 70)"
"Parlor Rose";"60";"#893E39";"rgb(137, 62, 57)"
