"Color Name";"Color Number";"Hex";"RGB"
"IKEA001";"1";"#F8F1E6";"rgb(248, 241, 230)"
"IKEA002";"2";"#EFE8E1";"rgb(239, 232, 225)"
"IKEA003";"3";"#F9F2EC";"rgb(249, 242, 236)"
"IKEA004";"4";"#F7F2EB";"rgb(247, 242, 235)"
"IKEA005";"5";"#EDE8E0";"rgb(237, 232, 224)"
"IKEA006";"6";"#EEE7DD";"rgb(238, 231, 221)"
"IKEA007";"7";"#F4F0E5";"rgb(244, 240, 229)"
"IKEA008";"8";"#EFE4D3";"rgb(239, 228, 211)"
"IKEA009";"9";"#F8F3E9";"rgb(248, 243, 233)"
"IKEA010";"10";"#F3ECDE";"rgb(243, 236, 222)"
"IKEA011";"11";"#F6F3E7";"rgb(246, 243, 231)"
"IKEA012";"12";"#EEE7D3";"rgb(238, 231, 211)"
"IKEA013";"13";"#F4F2E5";"rgb(244, 242, 229)"
"IKEA014";"14";"#EEEADA";"rgb(238, 234, 218)"
"IKEA015 IKEA5";"15-ikea-5";"#F8F7E9";"rgb(248, 247, 233)"
"IKEA016";"16";"#F4F2E9";"rgb(244, 242, 233)"
"IKEA017";"17";"#EEF3E7";"rgb(238, 243, 231)"
"IKEA018";"18";"#EAEADF";"rgb(234, 234, 223)"
"IKEA019";"19";"#EFF5F0";"rgb(239, 245, 240)"
"IKEA020";"20";"#ECF4EC";"rgb(236, 244, 236)"
"IKEA021";"21";"#BEC675";"rgb(190, 198, 117)"
"IKEA022 IKEA2";"22-ikea-2";"#F2F1EE";"rgb(242, 241, 238)"
"IKEA023";"23";"#E4CBCB";"rgb(228, 203, 203)"
"IKEA024";"24";"#F7F0E7";"rgb(247, 240, 231)"
"IKEA025";"25";"#CBBEB1";"rgb(203, 190, 177)"
"IKEA026";"26";"#EBE0D9";"rgb(235, 224, 217)"
"IKEA027";"27";"#CC6653";"rgb(204, 102, 83)"
"IKEA028";"28";"#E7E1D8";"rgb(231, 225, 216)"
"IKEA029";"29";"#816F66";"rgb(129, 111, 102)"
"IKEA030";"30";"#F6F0E8";"rgb(246, 240, 232)"
"IKEA031";"31";"#F7E2DD";"rgb(247, 226, 221)"
"IKEA032";"32";"#EDCDC7";"rgb(237, 205, 199)"
"IKEA033";"33";"#F4D9CE";"rgb(244, 217, 206)"
"IKEA034";"34";"#DCB8A8";"rgb(220, 184, 168)"
"IKEA035";"35";"#F8E9D3";"rgb(248, 233, 211)"
"IKEA036";"36";"#EFCB9B";"rgb(239, 203, 155)"
"IKEA037";"37";"#FDE5B0";"rgb(253, 229, 176)"
"IKEA038";"38";"#E6CDAA";"rgb(230, 205, 170)"
"IKEA039";"39";"#FBEBBD";"rgb(251, 235, 189)"
"IKEA040";"40";"#F9DF9C";"rgb(249, 223, 156)"
"IKEA041";"41";"#F9EFD6";"rgb(249, 239, 214)"
"IKEA042";"42";"#D9CCA6";"rgb(217, 204, 166)"
"IKEA043";"43";"#EBEFBD";"rgb(235, 239, 189)"
"IKEA044";"44";"#B5D1AB";"rgb(181, 209, 171)"
"IKEA045";"45";"#BBE1D7";"rgb(187, 225, 215)"
"IKEA046";"46";"#C3DCC9";"rgb(195, 220, 201)"
"IKEA047";"47";"#DDE9ED";"rgb(221, 233, 237)"
"IKEA048";"48";"#C2E4EA";"rgb(194, 228, 234)"
"IKEA049";"49";"#D2DCEF";"rgb(210, 220, 239)"
"IKEA050";"50";"#C6D7E3";"rgb(198, 215, 227)"
"IKEA051";"51";"#E1E4E6";"rgb(225, 228, 230)"
"IKEA052";"52";"#B3C4D5";"rgb(179, 196, 213)"
"IKEA053";"53";"#E8DDE2";"rgb(232, 221, 226)"
"IKEA054";"54";"#D2CBDD";"rgb(210, 203, 221)"
"IKEA055";"55";"#7E8177";"rgb(126, 129, 119)"
"IKEA056";"56";"#F7F8DF";"rgb(247, 248, 223)"
"IKEA057";"57";"#E4E7E3";"rgb(228, 231, 227)"
"IKEA058";"58";"#F7E5D3";"rgb(247, 229, 211)"
"IKEA059";"59";"#B34C53";"rgb(179, 76, 83)"
"IKEA060";"60";"#D2DDDB";"rgb(210, 221, 219)"
"IKEA061";"61";"#ECEBAF";"rgb(236, 235, 175)"
"IKEA062";"62";"#DEDFC3";"rgb(222, 223, 195)"
"IKEA063";"63";"#935E7C";"rgb(147, 94, 124)"
"IKEA064";"64";"#E7E3E9";"rgb(231, 227, 233)"
"IKEA065";"65";"#DFB5B0";"rgb(223, 181, 176)"
"IKEA066";"66";"#A85953";"rgb(168, 89, 83)"
"IKEA067";"67";"#F5C2AC";"rgb(245, 194, 172)"
"IKEA068";"68";"#E09673";"rgb(224, 150, 115)"
"IKEA069";"69";"#FFD28E";"rgb(255, 210, 142)"
"IKEA070";"70";"#F0B67E";"rgb(240, 182, 126)"
"IKEA071";"71";"#FBE6CE";"rgb(251, 230, 206)"
"IKEA072";"72";"#EFCD96";"rgb(239, 205, 150)"
"IKEA073";"73";"#FAEE9F";"rgb(250, 238, 159)"
"IKEA074";"74";"#FADB89";"rgb(250, 219, 137)"
"IKEA075";"75";"#E2E38D";"rgb(226, 227, 141)"
"IKEA076";"76";"#C7C896";"rgb(199, 200, 150)"
"IKEA077";"77";"#D3DFC1";"rgb(211, 223, 193)"
"IKEA078";"78";"#9CAD7F";"rgb(156, 173, 127)"
