"Color Name";"Color Number";"Hex";"RGB"
"Plumeria Lei";"LH110";"#C9709E";"rgb(201, 112, 158)"
"Potpourri";"LH120";"#934962";"rgb(147, 73, 98)"
"Satin Flower";"LA280-01";"#812A51";"rgb(129, 42, 81)"
"Raspberry Macaroon";"LA280-02";"#6F304C";"rgb(111, 48, 76)"
"Sincerity";"LA260-01";"#D593A5";"rgb(213, 147, 165)"
"Peaking Pink";"LA260-02";"#B16D85";"rgb(177, 109, 133)"
"Cranberry Spice";"LA290-01";"#7E4E5E";"rgb(126, 78, 94)"
"Aged To Perfection";"LA290-02";"#6B4157";"rgb(107, 65, 87)"
"Vintage Lamp";"LA220-01";"#E9E2E2";"rgb(233, 226, 226)"
"Sweet Blush";"LA230-01";"#EDD1D1";"rgb(237, 209, 209)"
"Ibis Pink";"LH140";"#CB556E";"rgb(203, 85, 110)"
"Bright Orchid";"LH130";"#9F3A4F";"rgb(159, 58, 79)"
"Kabuki";"LH150";"#A43B3E";"rgb(164, 59, 62)"
"Radiant Raspberry";"LA110-01";"#953842";"rgb(149, 56, 66)"
"Francesca";"LA110-02";"#7E2A37";"rgb(126, 42, 55)"
"Boysenberry Pie";"LA100-02";"#60393B";"rgb(96, 57, 59)"
"Peach Glamour";"LB180-01";"#EEDEDA";"rgb(238, 222, 218)"
"Paper Dolls";"LA160-01";"#C19091";"rgb(193, 144, 145)"
"Autumn Aspen";"LA150-01";"#AB7D7F";"rgb(171, 125, 127)"
"Australian Shiraz";"LA150-02";"#835C5F";"rgb(131, 92, 95)"
"Sweet Antoinette";"LA210-01";"#F4C9C8";"rgb(244, 201, 200)"
"Earthy Red";"LA140-01";"#A36167";"rgb(163, 97, 103)"
"Cinnamon Apple";"LA140-02";"#9A5153";"rgb(154, 81, 83)"
"Red Tea";"LA100-01";"#743E4F";"rgb(116, 62, 79)"
"Ruffle Pink Dress";"LA180-01";"#EF8988";"rgb(239, 137, 136)"
"Bang";"LH160";"#B03537";"rgb(176, 53, 55)"
"Fahrenheit";"LH180";"#9D3A2F";"rgb(157, 58, 47)"
"Raging Bull";"LA130-02";"#883134";"rgb(136, 49, 52)"
"Cool Watermelon";"LA170-01";"#D98685";"rgb(217, 134, 133)"
"Watermelon Crush";"LA170-02";"#C47977";"rgb(196, 121, 119)"
"Hibiscus Tea";"LA180-02";"#D75954";"rgb(215, 89, 84)"
"Atomic Red";"LH170";"#B83236";"rgb(184, 50, 54)"
"Warm Shawl";"LA230-02";"#ECC3BF";"rgb(236, 195, 191)"
"Canyon Blossom";"LA210-02";"#DE9B98";"rgb(222, 155, 152)"
"Dynamite";"LH190";"#DF5E47";"rgb(223, 94, 71)"
"Red Flare";"LA130-01";"#AD4E49";"rgb(173, 78, 73)"
"Cake Pop";"LA240-01";"#F8D6D0";"rgb(248, 214, 208)"
"Melon Juice";"LA240-02";"#FAC5BE";"rgb(250, 197, 190)"
"Spanish Sherry";"LA160-02";"#A4726D";"rgb(164, 114, 109)"
"Oriental Red";"LA120-02";"#7D3436";"rgb(125, 52, 54)"
"Coral Myth";"LA190-01";"#ECABA3";"rgb(236, 171, 163)"
"Coral Ridge";"LA190-02";"#E59C93";"rgb(229, 156, 147)"
"Sedona Mountains";"LB110-02";"#AD5E54";"rgb(173, 94, 84)"
"Red Ginseng";"LA120-01";"#A1534D";"rgb(161, 83, 77)"
"Cameo Coral";"LB180-02";"#EBD1CA";"rgb(235, 209, 202)"
"Brickwork";"LB110-01";"#C0786D";"rgb(192, 120, 109)"
"Raw Clay";"LB100-02";"#843D34";"rgb(132, 61, 52)"
"Burnt Clay";"LM120";"#58423F";"rgb(88, 66, 63)"
"Arizona Clay";"LB160-02";"#E2BCAE";"rgb(226, 188, 174)"
"Mandarin Mimosa";"LB140-01";"#ECB09D";"rgb(236, 176, 157)"
"Antigua Sunset";"LB140-02";"#E18F79";"rgb(225, 143, 121)"
"Autumn Ridge";"LB100-01";"#9E5646";"rgb(158, 86, 70)"
"Aloha";"LH240";"#FEB14B";"rgb(254, 177, 75)"
"Bittersweet Orange";"LH220";"#FA9B40";"rgb(250, 155, 64)"
"Liger";"LH210";"#EA8A42";"rgb(234, 138, 66)"
"Hyperactive";"LH200";"#EA7C4C";"rgb(234, 124, 76)"
"Tea Room";"LB190-01";"#F7D3BD";"rgb(247, 211, 189)"
"Ember Glow";"LB250-01";"#E6A88D";"rgb(230, 168, 141)"
"Indian Curry";"LB250-02";"#D58E72";"rgb(213, 142, 114)"
"Lobster Tail";"LB120-01";"#BD6D53";"rgb(189, 109, 83)"
"Gossamer Peach";"LB150-01";"#F2CCB9";"rgb(242, 204, 185)"
"Sweet Papaya";"LB130-01";"#DE9981";"rgb(222, 153, 129)"
"Timeless Terra Cotta";"LB130-02";"#D2866D";"rgb(210, 134, 109)"
"Scorching Hot";"LB120-02";"#B05C44";"rgb(176, 92, 68)"
"Sweet Serenity";"LC180-02";"#FBE3D2";"rgb(251, 227, 210)"
"Gentle Embrace";"LB190-02";"#F3CAB6";"rgb(243, 202, 182)"
"Orange Ginger";"LB150-02";"#DAA48E";"rgb(218, 164, 142)"
"Baked Cinnamon";"LB270-01";"#BD8773";"rgb(189, 135, 115)"
"Taupe Pearls";"LB170-01";"#EFDCD3";"rgb(239, 220, 211)"
"Nouveau Apricot";"LB160-01";"#EBCBBD";"rgb(235, 203, 189)"
"Dusty Bronze";"LB240-02";"#B5907F";"rgb(181, 144, 127)"
"Spiced Tea";"LB270-02";"#9B6751";"rgb(155, 103, 81)"
"Wool Stockings";"LB170-02";"#D9C2B5";"rgb(217, 194, 181)"
"Tan Blush";"LB230-01";"#D2A994";"rgb(210, 169, 148)"
"Mamey Shake";"LB210-02";"#CC9A81";"rgb(204, 154, 129)"
"Spicy Twist";"LB280-02";"#AD6A53";"rgb(173, 106, 83)"
"Crushed Shell";"LB210-01";"#E6BEA5";"rgb(230, 190, 165)"
"Adobe Bricks";"LB220-02";"#C99378";"rgb(201, 147, 120)"
"Roasted Pumpkin";"LC100-01";"#A1694D";"rgb(161, 105, 77)"
"Autumn Abundance";"LC100-02";"#8E5335";"rgb(142, 83, 53)"
"Petite Peach";"LC150-02";"#F2C1A0";"rgb(242, 193, 160)"
"Mischief";"LB260-01";"#FAA06D";"rgb(250, 160, 109)"
"Spice Market";"LB260-02";"#D37F50";"rgb(211, 127, 80)"
"Hot August";"LC130-02";"#C26F45";"rgb(194, 111, 69)"
"Orange Crush";"LB200-02";"#ECAD88";"rgb(236, 173, 136)"
"Spiced Orange";"LC130-01";"#E0976B";"rgb(224, 151, 107)"
"Pom Pom Orange";"LC110-01";"#D48959";"rgb(212, 137, 89)"
