"Color Name";"Color Number";"Hex";"RGB"
"Black Box";"MP33758";"#0A1B20";"rgb(10, 27, 32)"
"Black Chasm";"MP28560";"#0A1A20";"rgb(10, 26, 32)"
"Black Indigo";"MP33764";"#0A191E";"rgb(10, 25, 30)"
"Black is Back";"MP59647";"#0B1013";"rgb(11, 16, 19)"
"Black Magic";"MP32156";"#0A1013";"rgb(10, 16, 19)"
"Black Mamba";"MP25595";"#161F24";"rgb(22, 31, 36)"
"Black Stallion";"MP33653";"#091012";"rgb(9, 16, 18)"
"Black Umber";"MP30116";"#191412";"rgb(25, 20, 18)"
"Blackguard";"MP33759";"#232220";"rgb(35, 34, 32)"
"Blackstone";"MP33348";"#1F1E1C";"rgb(31, 30, 28)"
"Draconia";"MP40821";"#192021";"rgb(25, 32, 33)"
"Ebony King";"MP30914";"#141F1F";"rgb(20, 31, 31)"
"Onyx";"MP31846";"#1B1513";"rgb(27, 21, 19)"
"Twilight Zone";"MP33260";"#161614";"rgb(22, 22, 20)"
"Vine Charcoal";"MP42359";"#1E2223";"rgb(30, 34, 35)"
"Wells Fargo Black";"MP26309";"#081111";"rgb(8, 17, 17)"
"Amethyst Met.";"MP22022";"#624BA0";"rgb(98, 75, 160)"
"Andromeda Blue Met.";"MP22028";"#00354B";"rgb(0, 53, 75)"
"Aquateal met.";"MP21999";"#488386";"rgb(72, 131, 134)"
"Aubertite Blue Met.";"MP27145";"#86B7B3";"rgb(134, 183, 179)"
"Aura Blue Met.";"MP25401";"#004E66";"rgb(0, 78, 102)"
"Bally Blue Met.";"MP41755";"#3B4F8E";"rgb(59, 79, 142)"
"Black N Blue Met.";"MP22005";"#130E29";"rgb(19, 14, 41)"
"Blackberry Met.";"MP22021";"#1C1027";"rgb(28, 16, 39)"
"Blue Abyss Met.";"MP22008";"#131834";"rgb(19, 24, 52)"
"Blue Jade Met.";"MP22004";"#63A6AE";"rgb(99, 166, 174)"
"Breyer Blue Met.";"MP19843";"#00526D";"rgb(0, 82, 109)"
"Brina Blue Met.";"MP22085";"#C7CBD0";"rgb(199, 203, 208)"
"Cabochon Blue Met.";"MP28161";"#003E55";"rgb(0, 62, 85)"
"Carib Blue Met.";"MP25405";"#004157";"rgb(0, 65, 87)"
"Celestine Blue Met.";"MP32683";"#91B7C2";"rgb(145, 183, 194)"
"Cenere Blue Met.";"MP22031";"#4B516C";"rgb(75, 81, 108)"
"Chakra Blue Met.";"MP25373";"#273974";"rgb(39, 57, 116)"
"Champenoise Blue Met.";"MP22088";"#A4B0B1";"rgb(164, 176, 177)"
"China Blue Met.";"MP22029";"#00425A";"rgb(0, 66, 90)"
"Cuda Plum Met.";"MP22023";"#9B8BDB";"rgb(155, 139, 219)"
"Cygnus Blue Met.";"MP22030";"#06283D";"rgb(6, 40, 61)"
"Dark Matter Blue Met.";"MP22027";"#012C3E";"rgb(1, 44, 62)"
"Dark Sea Green Met.";"MP26867";"#538D91";"rgb(83, 141, 145)"
"Deepwater Blue Met.";"MP21997";"#003F52";"rgb(0, 63, 82)"
"Electric Blue Met.";"MP21994";"#005B79";"rgb(0, 91, 121)"
"Emerald Teal Met.";"MP25406";"#004053";"rgb(0, 64, 83)"
"Faerie Blue Met.";"MP18124";"#A0BDD2";"rgb(160, 189, 210)"
"Floe Blue Met.";"MP25362";"#AEACBE";"rgb(174, 172, 190)"
"Gelee Blue Met.";"MP22078";"#A29FAF";"rgb(162, 159, 175)"
"Glacon Blue Met.";"MP22090";"#95ADB1";"rgb(149, 173, 177)"
"Groovy Blue Met.";"MP26171";"#473485";"rgb(71, 52, 133)"
"Humo Blue Met.";"MP27858";"#6C87B9";"rgb(108, 135, 185)"
"Indigo Blue Met.";"MP21992";"#052C49";"rgb(5, 44, 73)"
"Lauderdale Blue Met.";"MP25398";"#308A94";"rgb(48, 138, 148)"
"Lavender Blue Met.";"MP22010";"#7F7D8D";"rgb(127, 125, 141)"
"Legend Blue Met.";"MP22001";"#003B4F";"rgb(0, 59, 79)"
"Marine Blue Met.";"MP21993";"#004661";"rgb(0, 70, 97)"
"Med. Gulf Blue Met.";"MP34865";"#004862";"rgb(0, 72, 98)"
"Midnite Blue Met.";"MP21989";"#0C243E";"rgb(12, 36, 62)"
"Mysteria Blue Met.";"MP23002";"#9992A7";"rgb(153, 146, 167)"
"Newport Blue Met.";"MP21990";"#004F6A";"rgb(0, 79, 106)"
"Pacific Blue Met.";"MP22000";"#5F9497";"rgb(95, 148, 151)"
"Panama Blue Met.";"MP22003";"#125D73";"rgb(18, 93, 115)"
"Passione Blue Met.";"MP26181";"#704A98";"rgb(112, 74, 152)"
"Pastello Blue Met.";"MP22087";"#849697";"rgb(132, 150, 151)"
"Pharaohs Blue Met.";"MP23003";"#A896EB";"rgb(168, 150, 235)"
"Phlox Blue Met.";"MP22026";"#8A7B90";"rgb(138, 123, 144)"
"Regal Blue Met.";"MP22009";"#56699B";"rgb(86, 105, 155)"
"Romanov Blue Met.";"MP17314";"#15183C";"rgb(21, 24, 60)"
"Royal Robe Met.";"MP22024";"#0E193C";"rgb(14, 25, 60)"
"Silver Blue Met.";"MP23839";"#8E96A2";"rgb(142, 150, 162)"
"Sleek Blue Met.";"MP27188";"#66AFAF";"rgb(102, 175, 175)"
"Smooth Teal Met.";"MP23561";"#5D8D85";"rgb(93, 141, 133)"
"Tahiti Blue Met.";"MP21991";"#266986";"rgb(38, 105, 134)"
"Tetra Blue Met.";"MP22007";"#647EB9";"rgb(100, 126, 185)"
"Trillium Blue Met.";"MP22025";"#6F4BA9";"rgb(111, 75, 169)"
"Ultra Blue Met.";"MP22006";"#43518F";"rgb(67, 81, 143)"
"Violetta Frost Met.";"MP22083";"#C7B8C4";"rgb(199, 184, 196)"
"Violette Blue Met.";"MP25353";"#C3B4C2";"rgb(195, 180, 194)"
"Alhambra Mosaic Blue";"MP11430";"#464E8C";"rgb(70, 78, 140)"
"Alpine Sky Blue";"MP357";"#8CC0D5";"rgb(140, 192, 213)"
"Ameritech Blue";"MP2171";"#283E77";"rgb(40, 62, 119)"
"Amsterdam Blue";"MP959";"#5B6E89";"rgb(91, 110, 137)"
"Amulet Blue";"MP2643";"#5B6890";"rgb(91, 104, 144)"
"Anas Teal";"MP12026";"#006081";"rgb(0, 96, 129)"
"Anil Blue";"MP4526";"#1D1A44";"rgb(29, 26, 68)"
"Antwerp Blue";"MP3362";"#6B6A74";"rgb(107, 106, 116)"
"Aquagris";"MP3559";"#6B898C";"rgb(107, 137, 140)"
"Aquarious Blue";"MP1063";"#0084B6";"rgb(0, 132, 182)"
"Aquavert";"MP2370";"#006D95";"rgb(0, 109, 149)"
"Arles In Blue";"MP6163";"#4D6C7F";"rgb(77, 108, 127)"
"Asgard Wall";"MP5480";"#6C6A7C";"rgb(108, 106, 124)"
"Auckland Azure";"MP8975";"#7CBAC9";"rgb(124, 186, 201)"
"Azulado";"MP906";"#1E1A42";"rgb(30, 26, 66)"
"Azureno";"MP3427";"#96A5D8";"rgb(150, 165, 216)"
"Azurine";"MP970";"#D5D2E7";"rgb(213, 210, 231)"
"Baby Boy Blue";"MP344";"#A3BBDB";"rgb(163, 187, 219)"
"Babylon Blue";"MP5037";"#5B4D65";"rgb(91, 77, 101)"
"Baffin Blue";"MP8972";"#AECFD4";"rgb(174, 207, 212)"
"Balinese Atoll";"MP946";"#00709B";"rgb(0, 112, 155)"
"Bambino Blue";"MP7797";"#A5BFD2";"rgb(165, 191, 210)"
"Bayville Blue";"MP7965";"#7FACB0";"rgb(127, 172, 176)"
"Beale Street Blues";"MP13702";"#303759";"rgb(48, 55, 89)"
"Beethoven Blue";"MP2356";"#7385A1";"rgb(115, 133, 161)"
"Belize Blue";"MP359";"#27588B";"rgb(39, 88, 139)"
"Bering Straits Sky";"MP955";"#C6CFD8";"rgb(198, 207, 216)"
"Berries";"MP5783";"#A8C3C9";"rgb(168, 195, 201)"
"Blue Abyss";"MP2103";"#1D1A44";"rgb(29, 26, 68)"
"Blue And Grey";"MP4510";"#797B89";"rgb(121, 123, 137)"
"Blue Bangle";"MP14188";"#2E4672";"rgb(46, 70, 114)"
"Blue Bike";"MP11976";"#272362";"rgb(39, 35, 98)"
"Blue Bottom";"MP4105";"#004F6F";"rgb(0, 79, 111)"
"Blue Brigantine";"MP4518";"#41576B";"rgb(65, 87, 107)"
"Blue Chic";"MP5878";"#C0CCD5";"rgb(192, 204, 213)"
"Blue Collar";"MP9460";"#455C84";"rgb(69, 92, 132)"
"Blue Dandy";"MP4348";"#356B92";"rgb(53, 107, 146)"
"Blue Eyed Mary";"MP7292";"#7E7E90";"rgb(126, 126, 144)"
"Blue Fang";"MP3341";"#93939B";"rgb(147, 147, 155)"
"Blue Flag";"MP1992";"#446B91";"rgb(68, 107, 145)"
"Blue Frit";"MP11988";"#5F6585";"rgb(95, 101, 133)"
"Blue Funk";"MP2098";"#374F75";"rgb(55, 79, 117)"
"Blue Glass";"MP340";"#2C0060";"rgb(44, 0, 96)"
"Blue Hawaii";"MP13728";"#00618F";"rgb(0, 97, 143)"
"Blue Lead";"MP6059";"#5E6881";"rgb(94, 104, 129)"
"Blue Lightening";"MP2625";"#4875A2";"rgb(72, 117, 162)"
"Blue Nose";"MP7455";"#7993B3";"rgb(121, 147, 179)"
"Blue On Violet";"MP9130";"#37327D";"rgb(55, 50, 125)"
"Blue Period";"MP4520";"#4F6F8B";"rgb(79, 111, 139)"
"Blue Polo";"MP14112";"#37324E";"rgb(55, 50, 78)"
"Blue Ribbon";"MP5080";"#140043";"rgb(20, 0, 67)"
"Blue Specter";"MP6984";"#98BFC9";"rgb(152, 191, 201)"
"Blue Truth";"MP5488";"#4C7286";"rgb(76, 114, 134)"
"Blue Valley";"MP8065";"#667490";"rgb(102, 116, 144)"
"Blue Veil";"MP7922";"#EBEDE5";"rgb(235, 237, 229)"
"Blue Wonder";"MP9971";"#3A415B";"rgb(58, 65, 91)"
"Blues News";"MP5040";"#00668D";"rgb(0, 102, 141)"
"Blurple Haze";"MP721";"#938F9E";"rgb(147, 143, 158)"
"Bobby Blue";"MP1816";"#73C2CF";"rgb(115, 194, 207)"
"Brewster Blue";"MP6785";"#BEBDD3";"rgb(190, 189, 211)"
"Brezo Blue";"MP2844";"#6C6290";"rgb(108, 98, 144)"
"Brindisi Blue";"MP4832";"#37547E";"rgb(55, 84, 126)"
"Brittany Blue";"MP2641";"#2E6972";"rgb(46, 105, 114)"
"Bushmans Bluey";"MP9963";"#38728A";"rgb(56, 114, 138)"
"Calm Blue";"MP894";"#BAC3EB";"rgb(186, 195, 235)"
"Camille Blue";"MP2896";"#50A5C9";"rgb(80, 165, 201)"
"Candy Blue";"MP4435";"#626389";"rgb(98, 99, 137)"
"Captain Blue";"MP5149";"#507189";"rgb(80, 113, 137)"
"Castaway Blue";"MP6783";"#74AEC7";"rgb(116, 174, 199)"
"Celeste";"MP6855";"#DDF4F5";"rgb(221, 244, 245)"
"Cerulean";"MP7837";"#AED6D8";"rgb(174, 214, 216)"
"Ceylon Sapphire";"MP8426";"#25467C";"rgb(37, 70, 124)"
"Ciel Bleu";"MP4721";"#49A1BC";"rgb(73, 161, 188)"
"Cloister";"MP11713";"#005A78";"rgb(0, 90, 120)"
"Coal Blue";"MP11611";"#5A6D87";"rgb(90, 109, 135)"
"Commelina Blue";"MP67";"#B7D4D8";"rgb(183, 212, 216)"
"Cook Islands Blue";"MP2110";"#2D3D6F";"rgb(45, 61, 111)"
"Copenhagen";"MP2514";"#56A3B4";"rgb(86, 163, 180)"
"Copenhagen Blue";"MP958";"#87A1B3";"rgb(135, 161, 179)"
"Cornwall Blue";"MP965";"#7084A9";"rgb(112, 132, 169)"
"Countrified Blue";"MP2965";"#9ABED0";"rgb(154, 190, 208)"
"Cruiseliner Blue";"MP8072";"#1E0D4F";"rgb(30, 13, 79)"
"Cuernavaca Blue";"MP2169";"#1E185C";"rgb(30, 24, 92)"
"Cypress Bayou";"MP5517";"#437A87";"rgb(67, 122, 135)"
"Czech Flag Blue";"MP2306";"#312C4F";"rgb(49, 44, 79)"
"Daisy Blue";"MP5753";"#8AB1C6";"rgb(138, 177, 198)"
"Dansk Blue";"MP3758";"#3E425E";"rgb(62, 66, 94)"
"Dark Colonial Blue";"MP75";"#1B3056";"rgb(27, 48, 86)"
"Debonair";"MP1731";"#B0D2D5";"rgb(176, 210, 213)"
"Deepsea Spray";"MP745";"#C3CED3";"rgb(195, 206, 211)"
"Diner Door Blue";"MP973";"#5C76AF";"rgb(92, 118, 175)"
"Diplomat";"MP5694";"#5F6173";"rgb(95, 97, 115)"
