"Color Name";"Color Number";"Hex";"RGB"
"Delicate White";"1001-1";"#F1F2EE";"rgb(241, 242, 238)"
"Aria";"1001-2";"#E3E4E2";"rgb(227, 228, 226)"
"Thin Ice";"1001-3";"#D9DCDB";"rgb(217, 220, 219)"
"Flagstone";"1001-4";"#ACADAD";"rgb(172, 173, 173)"
"Dover Gray";"1001-5";"#848585";"rgb(132, 133, 133)"
"Knight's Armor";"1001-6";"#5C5D5D";"rgb(92, 93, 93)"
"Black Magic";"1001-7";"#414040";"rgb(65, 64, 64)"
"Silver Feather";"1002-1";"#EDEBE7";"rgb(237, 235, 231)"
"Arctic Cotton";"1002-2";"#E6E3DF";"rgb(230, 227, 223)"
"Cool Slate";"1002-3";"#D0CCC5";"rgb(208, 204, 197)"
"Gray Marble";"1002-4";"#B9B4B1";"rgb(185, 180, 177)"
"Antique Silver";"1002-5";"#918E8C";"rgb(145, 142, 140)"
"Gibraltar Gray";"1002-6";"#6F6A68";"rgb(111, 106, 104)"
"Phantom Mist";"1002-7";"#4B4441";"rgb(75, 68, 65)"
"Fall Chill";"1003-1";"#E1DDDB";"rgb(225, 221, 219)"
"Balanced";"1003-2";"#D7D2D1";"rgb(215, 210, 209)"
"Silver Bells";"1003-3";"#B8B4B6";"rgb(184, 180, 182)"
"Equilibrium";"1003-4";"#A49F9F";"rgb(164, 159, 159)"
"Shining Armor";"1003-5";"#908B8E";"rgb(144, 139, 142)"
"Cracked Slate";"1003-6";"#69656A";"rgb(105, 101, 106)"
"Blackhearth";"1003-7";"#49454B";"rgb(73, 69, 75)"
"Go To Gray";"1004-1";"#DCD8D7";"rgb(220, 216, 215)"
"Free Reign";"1004-2";"#D1CDCA";"rgb(209, 205, 202)"
"Hush";"1004-3";"#C4BDBA";"rgb(196, 189, 186)"
"Silver Service";"1004-4";"#B2AAAA";"rgb(178, 170, 170)"
"Pewter Mug";"1004-5";"#8B8283";"rgb(139, 130, 131)"
"Phantom Hue";"1004-6";"#645D5E";"rgb(100, 93, 94)"
"Black Elegance";"1004-7";"#50484A";"rgb(80, 72, 74)"
"Dusky Dawn";"1005-1";"#E5E1DE";"rgb(229, 225, 222)"
"Elusion";"1005-2";"#D2CFCC";"rgb(210, 207, 204)"
"Gray Shadows";"1005-3";"#C2BDBA";"rgb(194, 189, 186)"
"Slate Pebble";"1005-4";"#B4ADA9";"rgb(180, 173, 169)"
"Elephant Gray";"1005-5";"#8D847F";"rgb(141, 132, 127)"
"Oswego Tea";"1005-6";"#665D59";"rgb(102, 93, 89)"
"Dark Granite";"1005-7";"#4F443F";"rgb(79, 68, 63)"
"Gypsum";"1006-1";"#EEEDE4";"rgb(238, 237, 228)"
"Shark";"1006-2";"#DFDCD5";"rgb(223, 220, 213)"
"Early Evening";"1006-3";"#CAC7BF";"rgb(202, 199, 191)"
"Mercurial";"1006-4";"#B6B0A9";"rgb(182, 176, 169)"
