"Color Name";"Color Number";"Hex";"RGB"
"TOYO 0001";"0001";"#AD3286";"rgb(173, 50, 134)"
"TOYO 0002";"0002";"#C30089";"rgb(195, 0, 137)"
"TOYO 0003";"0003";"#D142AA";"rgb(209, 66, 170)"
"TOYO 0004";"0004";"#A45789";"rgb(164, 87, 137)"
"TOYO 0005";"0005";"#B86096";"rgb(184, 96, 150)"
"TOYO 0006";"0006";"#DA5BAE";"rgb(218, 91, 174)"
"TOYO 0007";"0007";"#B0006F";"rgb(176, 0, 111)"
"TOYO 0008";"0008";"#C60078";"rgb(198, 0, 120)"
"TOYO 0009";"0009";"#CC5D9D";"rgb(204, 93, 157)"
"TOYO 0010";"0010";"#DB4E9A";"rgb(219, 78, 154)"
"TOYO 0011";"0011";"#DA388C";"rgb(218, 56, 140)"
"TOYO 0012";"0012";"#E675A9";"rgb(230, 117, 169)"
"TOYO 0013";"0013";"#E289BB";"rgb(226, 137, 187)"
"TOYO 0014";"0014";"#E8A3C4";"rgb(232, 163, 196)"
"TOYO 0015";"0015";"#E7A9CA";"rgb(231, 169, 202)"
"TOYO 0016";"0016";"#E6B2C9";"rgb(230, 178, 201)"
"TOYO 0017";"0017";"#E8C3D1";"rgb(232, 195, 209)"
"TOYO 0018";"0018";"#EFB2C6";"rgb(239, 178, 198)"
"TOYO 0019";"0019";"#E971A3";"rgb(233, 113, 163)"
"TOYO 0020";"0020";"#B3397A";"rgb(179, 57, 122)"
"TOYO 0021";"0021";"#8F2C65";"rgb(143, 44, 101)"
"TOYO 0022";"0022";"#970C59";"rgb(151, 12, 89)"
"TOYO 0023";"0023";"#C40066";"rgb(196, 0, 102)"
"TOYO 0024";"0024";"#D72783";"rgb(215, 39, 131)"
"TOYO 0025";"0025";"#C90061";"rgb(201, 0, 97)"
"TOYO 0026";"0026";"#BC005A";"rgb(188, 0, 90)"
"TOYO 0027";"0027";"#AB004C";"rgb(171, 0, 76)"
"TOYO 0028";"0028";"#9A0F43";"rgb(154, 15, 67)"
"TOYO 0029";"0029";"#C02A62";"rgb(192, 42, 98)"
"TOYO 0030";"0030";"#D80473";"rgb(216, 4, 115)"
"TOYO 0031";"0031";"#E35491";"rgb(227, 84, 145)"
"TOYO 0032";"0032";"#BC577A";"rgb(188, 87, 122)"
"TOYO 0033";"0033";"#963554";"rgb(150, 53, 84)"
"TOYO 0034";"0034";"#D1005E";"rgb(209, 0, 94)"
"TOYO 0035";"0035";"#C9004C";"rgb(201, 0, 76)"
"TOYO 0036";"0036";"#D91362";"rgb(217, 19, 98)"
"TOYO 0037";"0037";"#9D515D";"rgb(157, 81, 93)"
"TOYO 0038";"0038";"#E45591";"rgb(228, 85, 145)"
"TOYO 0039";"0039";"#E24486";"rgb(226, 68, 134)"
"TOYO 0040";"0040";"#ED87AD";"rgb(237, 135, 173)"
"TOYO 0041";"0041";"#F2799E";"rgb(242, 121, 158)"
"TOYO 0042";"0042";"#DE7394";"rgb(222, 115, 148)"
"TOYO 0043";"0043";"#E46185";"rgb(228, 97, 133)"
"TOYO 0044";"0044";"#E73D6C";"rgb(231, 61, 108)"
"TOYO 0045";"0045";"#C70035";"rgb(199, 0, 53)"
"TOYO 0046";"0046";"#D40041";"rgb(212, 0, 65)"
"TOYO 0047";"0047";"#D88391";"rgb(216, 131, 145)"
"TOYO 0048";"0048";"#F2ADBF";"rgb(242, 173, 191)"
"TOYO 0049";"0049";"#F4A5B9";"rgb(244, 165, 185)"
"TOYO 0050";"0050";"#F5B5C0";"rgb(245, 181, 192)"
"TOYO 0051";"0051";"#E9B5BA";"rgb(233, 181, 186)"
"TOYO 0052";"0052";"#E6C3C5";"rgb(230, 195, 197)"
"TOYO 0053";"0053";"#F3C5C6";"rgb(243, 197, 198)"
"TOYO 0054";"0054";"#F0C6C2";"rgb(240, 198, 194)"
"TOYO 0055";"0055";"#EFBFB9";"rgb(239, 191, 185)"
"TOYO 0056";"0056";"#F4A8AA";"rgb(244, 168, 170)"
"TOYO 0057";"0057";"#FDA0A8";"rgb(253, 160, 168)"
"TOYO 0058";"0058";"#CF7485";"rgb(207, 116, 133)"
"TOYO 0059";"0059";"#F36A83";"rgb(243, 106, 131)"
"TOYO 0060";"0060";"#F7617D";"rgb(247, 97, 125)"
"TOYO 0061";"0061";"#D23655";"rgb(210, 54, 85)"
"TOYO 0062";"0062";"#CD5969";"rgb(205, 89, 105)"
"TOYO 0063";"0063";"#D50044";"rgb(213, 0, 68)"
"TOYO 0064";"0064";"#D00039";"rgb(208, 0, 57)"
"TOYO 0065";"0065";"#B60033";"rgb(182, 0, 51)"
"TOYO 0066";"0066";"#BF2845";"rgb(191, 40, 69)"
"TOYO 0067";"0067";"#B30F35";"rgb(179, 15, 53)"
"TOYO 0068";"0068";"#BB404B";"rgb(187, 64, 75)"
"TOYO 0069";"0069";"#D50030";"rgb(213, 0, 48)"
"TOYO 0070";"0070";"#D90031";"rgb(217, 0, 49)"
"TOYO 0071";"0071";"#DE0036";"rgb(222, 0, 54)"
"TOYO 0072";"0072";"#E31545";"rgb(227, 21, 69)"
"TOYO 0073";"0073";"#E31C40";"rgb(227, 28, 64)"
"TOYO 0074";"0074";"#DF666E";"rgb(223, 102, 110)"
"TOYO 0075";"0075";"#F24754";"rgb(242, 71, 84)"
"TOYO 0076";"0076";"#EE3744";"rgb(238, 55, 68)"
"TOYO 0077";"0077";"#F2444C";"rgb(242, 68, 76)"
"TOYO 0078";"0078";"#F74D4B";"rgb(247, 77, 75)"
"TOYO 0079";"0079";"#FD7F82";"rgb(253, 127, 130)"
"TOYO 0080";"0080";"#FC6F70";"rgb(252, 111, 112)"
"TOYO 0081";"0081";"#FF857D";"rgb(255, 133, 125)"
"TOYO 0082";"0082";"#FDA3A0";"rgb(253, 163, 160)"
"TOYO 0083";"0083";"#FD9991";"rgb(253, 153, 145)"
"TOYO 0084";"0084";"#FAB0A5";"rgb(250, 176, 165)"
"TOYO 0085";"0085";"#FF6057";"rgb(255, 96, 87)"
"TOYO 0086";"0086";"#FC4F4E";"rgb(252, 79, 78)"
"TOYO 0087";"0087";"#E14244";"rgb(225, 66, 68)"
"TOYO 0088";"0088";"#EC303A";"rgb(236, 48, 58)"
"TOYO 0089";"0089";"#C21631";"rgb(194, 22, 49)"
"TOYO 0090";"0090";"#B92129";"rgb(185, 33, 41)"
"TOYO 0091";"0091";"#C41D29";"rgb(196, 29, 41)"
"TOYO 0092";"0092";"#AD4E4F";"rgb(173, 78, 79)"
"TOYO 0093";"0093";"#BB4346";"rgb(187, 67, 70)"
"TOYO 0094";"0094";"#A42E34";"rgb(164, 46, 52)"
"TOYO 0095";"0095";"#A73434";"rgb(167, 52, 52)"
"TOYO 0096";"0096";"#C0262D";"rgb(192, 38, 45)"
"TOYO 0097";"0097";"#C62C2B";"rgb(198, 44, 43)"
"TOYO 0098";"0098";"#D5262C";"rgb(213, 38, 44)"
"TOYO 0099";"0099";"#E2172B";"rgb(226, 23, 43)"
"TOYO 0100";"0100";"#E4212B";"rgb(228, 33, 43)"
"TOYO 0101";"0101";"#E51B16";"rgb(229, 27, 22)"
"TOYO 0102";"0102";"#F1300E";"rgb(241, 48, 14)"
"TOYO 0103";"0103";"#F63E2A";"rgb(246, 62, 42)"
"TOYO 0104";"0104";"#F05F53";"rgb(240, 95, 83)"
"TOYO 0105";"0105";"#FF6E5E";"rgb(255, 110, 94)"
"TOYO 0106";"0106";"#FF8878";"rgb(255, 136, 120)"
"TOYO 0107";"0107";"#FF8E72";"rgb(255, 142, 114)"
"TOYO 0108";"0108";"#FBA895";"rgb(251, 168, 149)"
"TOYO 0109";"0109";"#FEA088";"rgb(254, 160, 136)"
"TOYO 0110";"0110";"#FF6945";"rgb(255, 105, 69)"
"TOYO 0111";"0111";"#FE5E3D";"rgb(254, 94, 61)"
"TOYO 0112";"0112";"#F56946";"rgb(245, 105, 70)"
"TOYO 0113";"0113";"#FB492D";"rgb(251, 73, 45)"
"TOYO 0114";"0114";"#B95846";"rgb(185, 88, 70)"
"TOYO 0115";"0115";"#B03831";"rgb(176, 56, 49)"
"TOYO 0116";"0116";"#B34D2E";"rgb(179, 77, 46)"
"TOYO 0117";"0117";"#CE432E";"rgb(206, 67, 46)"
"TOYO 0118";"0118";"#C64825";"rgb(198, 72, 37)"
"TOYO 0119";"0119";"#DE4B2C";"rgb(222, 75, 44)"
"TOYO 0120";"0120";"#EF4C15";"rgb(239, 76, 21)"
"TOYO 0121";"0121";"#D05219";"rgb(208, 82, 25)"
"TOYO 0122";"0122";"#E1541B";"rgb(225, 84, 27)"
"TOYO 0123";"0123";"#B6481E";"rgb(182, 72, 30)"
"TOYO 0124";"0124";"#DE6E3C";"rgb(222, 110, 60)"
"TOYO 0125";"0125";"#FA4F00";"rgb(250, 79, 0)"
"TOYO 0126";"0126";"#F46D3B";"rgb(244, 109, 59)"
"TOYO 0127";"0127";"#FF7744";"rgb(255, 119, 68)"
"TOYO 0128";"0128";"#FB5B00";"rgb(251, 91, 0)"
"TOYO 0129";"0129";"#DF7F50";"rgb(223, 127, 80)"
"TOYO 0130";"0130";"#FF8759";"rgb(255, 135, 89)"
"TOYO 0131";"0131";"#FCA076";"rgb(252, 160, 118)"
"TOYO 0132";"0132";"#FD9667";"rgb(253, 150, 103)"
"TOYO 0133";"0133";"#F5C9B5";"rgb(245, 201, 181)"
