"Color Name";"Color Number";"Hex";"RGB"
"Harmonious Rose";"1004-2A";"#F19DB7";"rgb(241, 157, 183)"
"Flower Girl";"1005-1C";"#F398AF";"rgb(243, 152, 175)"
"Sweet Sixteen";"1006-2A";"#F29FAB";"rgb(242, 159, 171)"
"Peach Burst";"1008-1C";"#F39998";"rgb(243, 153, 152)"
"Salmon Rose";"2003-3C";"#E7968B";"rgb(231, 150, 139)"
"Coral Reef";"2004-4A";"#F6A494";"rgb(246, 164, 148)"
"Poppy Petal";"2001-1C";"#F6A08C";"rgb(246, 160, 140)"
"Simply Coral";"2001-2A";"#F8B09C";"rgb(248, 176, 156)"
"Apricot Jam";"2005-4A";"#F5A990";"rgb(245, 169, 144)"
"Coral Ridge";"2003-6A";"#E59E85";"rgb(229, 158, 133)"
"Iced Berry";"1004-1C";"#E67F9B";"rgb(230, 127, 155)"
"So Charming";"1005-1B";"#EA7D96";"rgb(234, 125, 150)"
"Poppy Field";"1006-1C";"#E6888F";"rgb(230, 136, 143)"
"Strawberry Pink";"2001-3C";"#D9878B";"rgb(217, 135, 139)"
"Powder Peach";"1007-1C";"#E18684";"rgb(225, 134, 132)"
"Sweet Melon";"1008-1B";"#EA8280";"rgb(234, 130, 128)"
"Coral Passion";"2001-1B";"#EE8A78";"rgb(238, 138, 120)"
"Desert Rose";"2004-3C";"#E7927F";"rgb(231, 146, 127)"
"Sweetly Singing";"2005-3C";"#E18E78";"rgb(225, 142, 120)"
"Orange Slice";"2002-1B";"#F08A64";"rgb(240, 138, 100)"
"Frosty Berry";"1003-1B";"#DD7699";"rgb(221, 118, 153)"
"Peruvian Pom Pom";"1006-3C";"#CE7C94";"rgb(206, 124, 148)"
"Reflecting Rose";"1007-3B";"#D68095";"rgb(214, 128, 149)"
"Passion Pink";"1006-1B";"#E06E78";"rgb(224, 110, 120)"
"Rouge Red";"1007-1B";"#DD7977";"rgb(221, 121, 119)"
"Amber Rose";"2003-3B";"#DB8478";"rgb(219, 132, 120)"
"Flamenco Pink";"2004-3B";"#DA7867";"rgb(218, 120, 103)"
"Ripe Pomegranate";"2009-3";"#E5745A";"rgb(229, 116, 90)"
"Spanish Dancer";"2005-3B";"#DC7D66";"rgb(220, 125, 102)"
"Island Orange";"2010-2";"#E66C35";"rgb(230, 108, 53)"
"Hint of Cherry";"1004-1B";"#DA6884";"rgb(218, 104, 132)"
"Pink Burst";"1003-1A";"#D55E7B";"rgb(213, 94, 123)"
"Sonora Rose";"2002-3B";"#C86C6D";"rgb(200, 108, 109)"
"Cuban Plaza";"2001-5B";"#C4726F";"rgb(196, 114, 111)"
"Blaze Orange";"1008-1A";"#DF655D";"rgb(223, 101, 93)"
"Rhapsody";"2002-5C";"#C27B71";"rgb(194, 123, 113)"
"Ultra Orange";"2010-3";"#DE6350";"rgb(222, 99, 80)"
"Autumn Enchantment";"2001-1A";"#E46B54";"rgb(228, 107, 84)"
"Autumn Blaze";"2002-1A";"#E16442";"rgb(225, 100, 66)"
"Roasted Squash";"2006-3A";"#D4744A";"rgb(212, 116, 74)"
"Berrylicious";"1005-1A";"#D34E5F";"rgb(211, 78, 95)"
"Playful Pink";"2001-3B";"#C06E71";"rgb(192, 110, 113)"
"Scarlet Sun";"1011-1";"#D24B42";"rgb(210, 75, 66)"
"Hacienda Tile";"2010-4";"#C45749";"rgb(196, 87, 73)"
"Roasted Pumpkin";"2005-3A";"#CD6651";"rgb(205, 102, 81)"
"Vivid Orange";"2011-3";"#CF5942";"rgb(207, 89, 66)"
"Florentine Clay";"2003-5B";"#B87463";"rgb(184, 116, 99)"
"Fall Leaf";"2009-5";"#B9634D";"rgb(185, 99, 77)"
"Bear Claw";"2004-5A";"#AB6A50";"rgb(171, 106, 80)"
"Dark Palomino";"2011-2";"#C2653D";"rgb(194, 101, 61)"
"Very Berry";"1002-1A";"#B95579";"rgb(185, 85, 121)"
"Deep Sunset";"1005-3A";"#A65D75";"rgb(166, 93, 117)"
"Sienna Dust";"1007-3A";"#B45762";"rgb(180, 87, 98)"
"Whipped Strawberry";"1006-1A";"#C74E5B";"rgb(199, 78, 91)"
"Red Bliss";"1010-1";"#CF454A";"rgb(207, 69, 74)"
"Autumn Fire";"1007-1A";"#C34B4A";"rgb(195, 75, 74)"
"Island Salsa";"2003-3A";"#BB5D50";"rgb(187, 93, 80)"
"Terra Cotta Red";"2004-3A";"#C2584A";"rgb(194, 88, 74)"
"Orange Maple";"2010-5";"#B35943";"rgb(179, 89, 67)"
"Cinnamon Cake";"3010-6";"#A96245";"rgb(169, 98, 69)"
"Berry Blush";"1004-1A";"#B84D5D";"rgb(184, 77, 93)"
"Deep Rose";"2001-3A";"#AC595A";"rgb(172, 89, 90)"
"Red Ochre";"2011-4";"#A85551";"rgb(168, 85, 81)"
"Oh So Red";"1009-1";"#BE4948";"rgb(190, 73, 72)"
"Brick Facade";"2002-3A";"#B25550";"rgb(178, 85, 80)"
"Lovely Love Song";"2009-4";"#C34B44";"rgb(195, 75, 68)"
"Rare Sienna";"2010-7";"#A7584C";"rgb(167, 88, 76)"
"Fire Orange";"2009-7";"#B35545";"rgb(179, 85, 69)"
"Crimson Glow";"2011-5";"#A85341";"rgb(168, 83, 65)"
"Toffee Glaze";"3011-6";"#9A5F45";"rgb(154, 95, 69)"
"Radiant Red";"1009-3";"#8F3841";"rgb(143, 56, 65)"
"Cut Ruby";"1009-4";"#8C363B";"rgb(140, 54, 59)"
"Quite Red";"1011-3";"#94353C";"rgb(148, 53, 60)"
"Bright Red";"1010-2";"#AD3C44";"rgb(173, 60, 68)"
"Fabulous Red";"1011-2";"#973E41";"rgb(151, 62, 65)"
"Classic Red";"1009-2";"#AE373F";"rgb(174, 55, 63)"
"Toasted Cranberry";"2001-5A";"#A4554D";"rgb(164, 85, 77)"
"Decadent Red";"2002-5A";"#904C44";"rgb(144, 76, 68)"
"Russet Red";"2011-7";"#944F43";"rgb(148, 79, 67)"
"Autumn Russet";"2009-6";"#945642";"rgb(148, 86, 66)"
"Heirloom Red";"1010-3";"#7F3639";"rgb(127, 54, 57)"
"Sassy Peach";"2003-2A";"#FCB78C";"rgb(252, 183, 140)"
"Peach Taffy";"2006-4A";"#F6BA93";"rgb(246, 186, 147)"
"Orange Taffy";"2008-6A";"#F1BB8C";"rgb(241, 187, 140)"
"Almond Butter";"3001-4A";"#F1C18D";"rgb(241, 193, 141)"
"Hayloft";"2006-2A";"#FCC484";"rgb(252, 196, 132)"
"Apricot Butter";"2005-2A";"#FFCA8C";"rgb(255, 202, 140)"
"Orange Toffee";"2007-1C";"#FDBC6C";"rgb(253, 188, 108)"
"Cantaloupe Smile";"2007-2A";"#FFC479";"rgb(255, 196, 121)"
"Whipped Apricot";"2007-2B";"#FFD599";"rgb(255, 213, 153)"
"Peach Tea";"3002-3C";"#FDC572";"rgb(253, 197, 114)"
